CBS	Naam	Prov	Beschermd wonen	Participatie	armoedebestrijding kinderen	beeldende kunst en vormgeving	bodembescherming	BRP: Centralisering Inschrijving Vergunninghouders	extra capaciteit BOA's	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	LHBTI-beleid	maatschappelijke opvang	Nationaal Actieplan Dakloosheid	openbare bibliotheken	personen met verward gedrag	regionale doelgroepen specifieke aanpak	Regionale Energie Strategieën	toekomstbestendig maken energiebeleid	Uitstapprogramma prostituees	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	voorschoolse voorziening peuters	vrouwenopvang	 Wet betaalbare huur 	Wet kwaliteitsborging bouw
1655	Halderberge	10	0	5572903	140.346	 - 	 - 	 - 	34.002	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	159.548	 - 	 - 	48.746	 - 	26.559	19.610
1658	Heeze-Leende	10	0	1172305	32.849	 - 	 - 	 - 	31.364	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	40.860	 - 	 - 	23.040	 - 	26.589	12.090
794	Helmond	10	20394020	17787020	586.296	 - 	288.613	 - 	45.569	20.226	 - 	20.000	3.054.562	434.548	282.828	 - 	136.659	 - 	 - 	 - 	7.062	 - 	 - 	176.573	2.404	400.077	152.339	2.286.937	65.332	45.260
797	Heusden	10	0	3772250	123.516	 - 	 - 	 - 	36.713	 - 	 - 	 - 	 - 	 - 	135.777	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	81.720	 - 	 - 	61.900	 - 	32.616	22.671
798	Hilvarenbeek	10	0	1448464	34.065	 - 	 - 	 - 	31.262	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	109.933	 - 	 - 	27.091	 - 	27.655	13.527
1659	Laarbeek	10	0	2467127	65.321	 - 	 - 	 - 	32.584	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	79.288	 - 	 - 	35.276	 - 	25.096	15.188
1982	Land van Cuijk	10	0	15839330	283.878	 - 	 - 	 - 	45.117	79.001	 - 	 - 	 - 	 - 	270.580	 - 	 - 	406.434	 - 	 - 	7.062	 - 	 - 	602.198	 - 	 - 	141.061	 - 	57.924	54.749
809	Loon op Zand	10	0	3084795	68.884	 - 	 - 	 - 	32.714	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	51.561	 - 	 - 	33.766	 - 	30.646	13.969
1991	Maashorst	10	0	9995464	210.881	 - 	 - 	 - 	39.150	 - 	 - 	 - 	 - 	 - 	174.705	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	325.907	 - 	 - 	89.667	 - 	47.092	34.608
1948	Meierijstad	10	0	15961424	237.386	 - 	 - 	 - 	43.527	22.198	 - 	 - 	 - 	 - 	248.697	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	267.049	 - 	 - 	121.762	 - 	58.771	48.587
