CBS	Naam	Prov	Beschermd wonen	Participatie	armoedebestrijding kinderen	beeldende kunst en vormgeving	bodembescherming	BRP: Centralisering Inschrijving Vergunninghouders	extra capaciteit BOA's	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	LHBTI-beleid	maatschappelijke opvang	Nationaal Actieplan Dakloosheid	openbare bibliotheken	personen met verward gedrag	regionale doelgroepen specifieke aanpak	Regionale Energie Strategieën	toekomstbestendig maken energiebeleid	Uitstapprogramma prostituees	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	voorschoolse voorziening peuters	vrouwenopvang	 Wet betaalbare huur 	Wet kwaliteitsborging bouw
1979	Eemsdelta	1	0	9708193	315.018	 - 	 - 	 - 	36.821	68.735	 - 	 - 	 - 	 - 	133.063	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	429.516	 - 	 - 	95.382	 - 	48.162	29.912
14	Groningen	1	78904396	30159432	1.305.638	473.748	449.767	 - 	71.726	52.520	 - 	20.000	17.696.027	2.512.945	719.116	345.035	136.659	 - 	370.500	201.876	7.062	30.000	265.650	418.815	7.213	400.077	410.493	7.713.583	428.750	146.199
1966	Het Hogeland	1	0	8068767	199.091	 - 	 - 	 - 	37.239	87.669	 - 	 - 	 - 	 - 	142.261	 - 	 - 	397.208	 - 	 - 	7.062	 - 	 - 	371.479	 - 	 - 	108.432	 - 	39.025	32.379
1952	Midden-Groningen	1	0	11861355	364.523	 - 	 - 	 - 	39.637	2.346	 - 	 - 	 - 	 - 	181.227	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	614.845	 - 	 - 	116.082	 - 	44.615	33.946
1895	Oldambt	1	0	13250507	236.778	 - 	 - 	 - 	35.462	38.175	 - 	 - 	 - 	 - 	116.245	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	183.383	 - 	 - 	81.641	 - 	37.645	24.274
765	Pekela	1	0	4998231	89.798	 - 	 - 	 - 	30.607	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	52.534	 - 	 - 	23.878	 - 	22.961	9.212
37	Stadskanaal	1	0	18596780	174.730	 - 	 - 	 - 	34.248	49.732	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	184.356	 - 	 - 	60.237	 - 	31.357	18.623
47	Veendam	1	0	9905729	173.803	 - 	 - 	 - 	33.442	68	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	228.135	 - 	 - 	49.962	 - 	31.952	16.822
1969	Westerkwartier	1	0	8792127	218.413	 - 	 - 	 - 	40.186	 - 	 - 	 - 	 - 	 - 	191.443	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	289.577	 - 	 - 	130.023	 - 	41.106	36.208
1950	Westerwolde	1	0	9069112	123.255	 - 	 - 	2.731.401	33.218	174.352	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	129.390	 - 	 - 	62.189	 - 	28.560	19.035
59	Achtkarspelen	2	0	5116364	128.788	 - 	 - 	 - 	33.532	578	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	146.901	 - 	 - 	56.900	 - 	23.861	16.245
60	Ameland	2	0	293767	5.880	 - 	 - 	 - 	29.040	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	22.376	 - 	 - 	7.718	 - 	22.740	6.626
1891	Dantumadiel	2	0	5531157	67.783	 - 	 - 	 - 	31.866	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	67.613	 - 	 - 	37.448	 - 	20.134	11.853
1940	De Fryske Marren	2	0	3345512	162.969	 - 	 - 	 - 	37.972	43.920	 - 	 - 	 - 	 - 	153.191	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	307.812	 - 	 - 	110.888	 - 	34.529	31.741
72	Harlingen	2	0	2159408	85.250	 - 	 - 	 - 	31.283	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	283.101	 - 	 - 	28.071	 - 	28.782	11.137
74	Heerenveen	2	0	8854336	208.564	 - 	 - 	 - 	37.763	1.700	 - 	 - 	 - 	 - 	152.772	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	113.941	 - 	 - 	102.574	 - 	49.468	30.072
80	Leeuwarden	2	48416302	14722674	781.071	150.000	355.328	 - 	51.493	67.239	 - 	20.000	14.787.102	2.107.986	379.990	352.035	136.659	493.820	370.500	223.380	7.062	30.000	271.040	381.574	 - 	400.077	258.187	6.885.546	175.954	70.331
1970	Noardeast-Fryslân	2	0	11021044	195.065	 - 	 - 	 - 	36.801	2.176	 - 	 - 	 - 	 - 	135.305	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	52.534	 - 	 - 	104.483	 - 	39.533	28.011
85	Ooststellingwerf	2	0	2877919	115.985	 - 	 - 	 - 	33.079	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	78.315	 - 	 - 	53.890	 - 	25.045	18.931
86	Opsterland	2	0	3548818	110.307	 - 	 - 	 - 	33.887	7.581	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	142.037	 - 	 - 	63.208	 - 	28.381	19.867
88	Schiermonnikoog	2	0	11297	1.332	 - 	 - 	 - 	28.516	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	12.161	 - 	 - 	1.685	 - 	12.029	4.660
90	Smallingerland	2	0	11881901	307.197	 - 	 - 	 - 	38.765	107.249	 - 	 - 	 - 	 - 	167.150	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	177.060	 - 	 - 	104.291	 - 	46.604	29.470
1900	Súdwest-Fryslân	2	0	16021855	421.038	 - 	 - 	 - 	45.081	65.675	 - 	20.000	 - 	 - 	266.742	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	344.114	 - 	 - 	200.509	 - 	60.333	51.488
93	Terschelling	2	0	226289	7.097	 - 	 - 	 - 	29.249	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	10.215	 - 	 - 	10.699	 - 	20.821	6.524
737	Tytsjerksteradiel	2	0	3665141	104.282	 - 	 - 	 - 	34.305	139.679	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	154.198	 - 	 - 	69.581	 - 	30.254	18.507
96	Vlieland	2	0	11297	2.404	 - 	 - 	 - 	28.565	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	10.215	 - 	 - 	2.804	 - 	12.029	4.423
1949	Waadhoeke	2	0	5923663	187.128	 - 	 - 	 - 	36.926	55.715	 - 	 - 	 - 	 - 	138.387	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	230.611	 - 	 - 	100.762	 - 	34.685	27.094
98	Weststellingwerf	2	0	4978550	97.272	 - 	 - 	 - 	33.203	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	146.901	 - 	 - 	54.431	 - 	26.112	19.646
1680	Aa en Hunze	3	0	118412	73.635	 - 	 - 	 - 	33.067	11.796	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	57.398	 - 	 - 	60.895	 - 	21.605	17.250
106	Assen	3	40526870	18889465	362.466	150.000	 - 	 - 	41.145	99.363	 - 	20.000	4.591.866	660.349	205.618	257.026	 - 	 - 	 - 	168.872	7.062	30.000	197.890	217.433	 - 	 - 	117.583	 - 	71.155	34.030
1681	Borger-Odoorn	3	0	5112558	84.323	 - 	 - 	 - 	33.104	1.768	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	74.423	 - 	 - 	66.636	 - 	22.872	17.237
109	Coevorden	3	0	4524057	169.632	 - 	 - 	 - 	34.911	32.328	 - 	 - 	 - 	 - 	105.389	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	189.220	 - 	 - 	74.072	 - 	27.744	24.302
1690	De Wolden	3	0	1019479	70.999	 - 	 - 	 - 	32.876	9.654	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	128.903	 - 	 - 	50.026	 - 	24.720	18.364
114	Emmen	3	16113687	25134374	597.709	150.000	476.125	 - 	48.247	148.211	 - 	20.000	3.171.268	457.217	322.571	 - 	136.659	 - 	370.500	 - 	7.062	 - 	 - 	810.875	 - 	400.077	199.059	5.035.653	74.368	52.992
118	Hoogeveen	3	0	19454499	282.488	 - 	 - 	 - 	38.684	34.571	 - 	 - 	 - 	 - 	166.943	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	177.060	 - 	 - 	101.966	 - 	45.186	29.752
119	Meppel	3	0	7767538	143.619	 - 	 - 	 - 	34.738	 - 	 - 	 - 	 - 	 - 	105.640	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	218.893	 - 	 - 	57.894	 - 	39.190	19.365
1731	Midden-Drenthe	3	0	209913	90.812	 - 	 - 	 - 	34.551	4.793	 - 	 - 	 - 	 - 	100.571	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	122.093	 - 	 - 	70.744	 - 	27.672	23.848
1699	Noordenveld	3	0	3224491	117.896	 - 	 - 	 - 	34.148	13.767	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	125.985	 - 	 - 	57.614	 - 	32.618	19.428
1730	Tynaarlo	3	0	207221	90.609	 - 	 - 	 - 	34.662	42.322	 - 	 - 	 - 	 - 	102.471	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	50.589	 - 	 - 	68.166	 - 	29.387	18.484
1701	Westerveld	3	0	3038596	53.879	 - 	 - 	 - 	31.999	16.317	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	39.887	 - 	 - 	47.689	 - 	23.142	15.402
141	Almelo	4	15019213	12034748	488.821	 - 	343.916	 - 	41.944	39.160	 - 	 - 	3.004.614	431.116	219.235	 - 	 - 	 - 	 - 	 - 	7.062	30.000	 - 	256.348	2.404	 - 	132.381	 - 	65.318	39.780
147	Borne	4	0	2731840	63.873	 - 	 - 	 - 	32.745	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	 - 	 - 	 - 	38.198	 - 	27.132	13.026
148	Dalfsen	4	0	3133542	61.526	 - 	 - 	 - 	33.718	2.516	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	48.643	 - 	 - 	49.938	 - 	27.264	20.472
150	Deventer	4	19918098	18087826	550.376	150.000	327.498	 - 	47.170	50.990	 - 	20.000	3.820.455	549.295	305.045	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	258.780	 - 	 - 	173.806	 - 	98.416	49.999
1774	Dinkelland	4	0	2100710	56.776	 - 	 - 	 - 	33.291	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	63.236	 - 	 - 	42.021	 - 	35.815	19.281
153	Enschede	4	38689903	26723021	1.138.265	404.571	400.083	 - 	58.049	12.340	 - 	20.000	8.992.912	1.291.071	477.127	360.036	136.659	 - 	370.500	216.359	7.062	30.000	277.200	330.285	6.412	400.077	285.440	7.255.703	162.905	83.184
158	Haaksbergen	4	0	2390196	80.963	 - 	 - 	 - 	32.849	918	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	40.860	 - 	 - 	36.443	 - 	28.120	17.055
160	Hardenberg	4	0	9372156	181.045	 - 	 - 	 - 	39.754	51.602	 - 	 - 	 - 	 - 	185.649	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	261.698	 - 	 - 	115.711	 - 	43.029	37.111
163	Hellendoorn	4	0	3798814	97.938	 - 	 - 	 - 	35.025	3.739	 - 	 - 	 - 	 - 	106.979	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	148.847	 - 	 - 	56.411	 - 	29.267	21.063
164	Hengelo	4	0	13631839	385.235	 - 	361.198	 - 	43.416	42.798	 - 	20.000	 - 	 - 	245.021	 - 	 - 	 - 	 - 	 - 	7.062	30.000	 - 	231.540	 - 	 - 	129.634	 - 	82.914	42.144
1735	Hof van Twente	4	0	2830535	98.778	 - 	 - 	 - 	34.860	10.402	 - 	 - 	 - 	 - 	104.566	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	133.768	 - 	 - 	52.254	 - 	37.170	25.723
166	Kampen	4	0	5827437	197.904	 - 	 - 	 - 	38.474	11.184	 - 	 - 	 - 	 - 	165.722	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	251.483	 - 	 - 	99.659	 - 	49.008	28.234
168	Losser	4	0	3177066	85.511	 - 	 - 	 - 	32.600	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	84.638	 - 	 - 	36.565	 - 	28.235	14.410
173	Oldenzaal	4	0	6761437	119.924	 - 	 - 	 - 	34.239	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	71.505	 - 	 - 	46.795	 - 	31.378	17.719
1773	Olst-Wijhe	4	0	2099339	51.620	 - 	 - 	 - 	31.758	14.889	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	25.294	 - 	 - 	31.070	 - 	26.086	13.348
175	Ommen	4	0	2964155	68.942	 - 	 - 	 - 	31.745	15.093	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	15.566	 - 	 - 	38.689	 - 	25.364	15.457
177	Raalte	4	0	4321650	102.834	 - 	 - 	 - 	35.394	272	 - 	 - 	 - 	 - 	113.174	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	125.985	 - 	 - 	62.461	 - 	29.035	24.341
1742	Rijssen-Holten	4	0	2949477	118.592	 - 	 - 	 - 	35.448	2.040	 - 	 - 	 - 	 - 	114.091	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	50.102	 - 	 - 	65.626	 - 	37.798	20.196
180	Staphorst	4	0	1214159	37.310	 - 	 - 	 - 	31.553	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	90.962	 - 	 - 	35.249	 - 	22.659	12.664
1708	Steenwijkerland	4	0	6814075	175.773	 - 	 - 	 - 	36.589	 - 	 - 	 - 	 - 	 - 	134.142	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	157.603	 - 	 - 	94.208	 - 	36.731	26.455
183	Tubbergen	4	0	2298299	41.365	 - 	 - 	 - 	32.307	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	58.371	 - 	 - 	36.418	 - 	31.739	17.561
1700	Twenterand	4	0	6569419	121.344	 - 	 - 	 - 	34.610	1.156	 - 	 - 	 - 	 - 	100.515	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	93.394	 - 	 - 	58.347	 - 	28.713	18.418
189	Wierden	4	0	2183947	46.347	 - 	 - 	 - 	32.906	18.220	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	57.398	 - 	 - 	41.859	 - 	27.707	15.915
1896	Zwartewaterland	4	0	1076446	57.355	 - 	 - 	 - 	32.588	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	333.690	 - 	 - 	40.327	 - 	23.951	14.510
193	Zwolle	4	73075428	14274728	645.099	150.000	295.526	 - 	52.490	16.827	 - 	20.000	10.661.647	1.523.370	392.766	280.028	136.659	 - 	 - 	184.828	7.062	 - 	215.600	400.817	 - 	400.077	230.194	6.112.301	124.800	64.256
197	Aalten	5	0	6627721	81.253	 - 	 - 	 - 	33.387	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	37.455	 - 	 - 	44.984	 - 	28.277	18.220
200	Apeldoorn	5	47086427	21429441	703.903	150.000	 - 	 - 	58.988	40.112	 - 	20.000	4.243.061	604.321	496.222	413.041	136.659	 - 	 - 	286.747	7.062	 - 	318.010	179.492	 - 	400.077	272.355	5.627.343	121.973	80.680
202	Arnhem	5	73032553	29991535	1.164.046	374.923	309.352	507.363	58.550	143.758	 - 	20.000	8.424.610	1.210.923	494.514	362.036	136.659	 - 	 - 	246.851	7.062	30.000	278.740	226.675	 - 	400.077	320.023	8.008.805	225.208	79.475
203	Barneveld	5	0	2784546	180.060	 - 	 - 	 - 	39.500	 - 	 - 	 - 	 - 	 - 	184.646	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	81.720	 - 	 - 	121.345	 - 	55.004	36.568
1945	Berg en Dal	5	0	3738903	136.262	 - 	 - 	 - 	34.854	28.181	 - 	 - 	 - 	 - 	104.648	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	148.847	 - 	 - 	58.683	 - 	35.052	17.787
1859	Berkelland	5	0	6057224	130.352	 - 	 - 	 - 	36.497	2.719	 - 	 - 	 - 	 - 	129.602	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	173.168	 - 	 - 	74.353	 - 	33.807	31.047
209	Beuningen	5	0	2977770	81.687	 - 	 - 	 - 	33.208	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	129.876	 - 	 - 	41.275	 - 	27.633	14.505
1876	Bronckhorst	5	0	4354369	76.908	 - 	 - 	 - 	35.054	8.532	 - 	 - 	 - 	 - 	106.551	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	128.903	 - 	 - 	61.412	 - 	36.365	26.593
213	Brummen	5	0	2141970	63.033	 - 	 - 	 - 	32.227	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	297.737	370.500	 - 	7.062	 - 	 - 	37.941	 - 	 - 	31.328	 - 	22.380	13.854
214	Buren	5	0	2019250	76.647	 - 	 - 	 - 	33.366	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	158.576	 - 	 - 	51.941	 - 	23.545	16.999
216	Culemborg	5	0	3710861	102.486	 - 	 - 	 - 	33.759	10.402	 - 	 - 	 - 	 - 	100.000	 - 	 - 	281.176	370.500	 - 	7.062	 - 	 - 	68.586	 - 	 - 	45.039	 - 	33.082	15.848
221	Doesburg	5	0	1523607	64.017	 - 	 - 	 - 	30.401	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	20.430	 - 	 - 	16.301	 - 	20.338	7.938
222	Doetinchem	5	30372127	8636874	276.781	 - 	 - 	 - 	39.180	30.900	 - 	 - 	3.892.527	558.989	175.888	 - 	136.659	303.978	370.500	 - 	7.062	 - 	 - 	143.983	 - 	400.077	92.958	 - 	54.928	29.616
225	Druten	5	0	2202905	63.033	 - 	 - 	 - 	31.875	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	152.738	 - 	 - 	29.545	 - 	27.519	11.922
226	Duiven	5	0	1881585	83.425	 - 	 - 	 - 	33.005	37.665	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	63.236	 - 	 - 	39.200	 - 	24.084	14.866
228	Ede	5	25749787	8756317	411.131	150.000	 - 	 - 	50.387	11.116	 - 	20.000	3.708.237	518.777	364.419	 - 	136.659	 - 	 - 	 - 	7.062	 - 	 - 	314.719	 - 	400.077	207.757	3.079.619	101.927	61.977
230	Elburg	5	0	3476402	86.902	 - 	 - 	 - 	32.700	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	27.240	 - 	 - 	40.531	 - 	31.327	12.895
232	Epe	5	0	4131958	108.975	 - 	 - 	 - 	34.517	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	72.964	 - 	 - 	54.831	 - 	32.100	20.088
233	Ermelo	5	0	3736464	80.645	 - 	 - 	 - 	33.367	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	53.994	 - 	 - 	45.026	 - 	33.608	17.102
243	Harderwijk	5	0	5339906	200.743	 - 	 - 	 - 	37.405	61.392	 - 	 - 	 - 	 - 	145.692	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	175.114	 - 	 - 	77.340	 - 	51.489	23.582
244	Hattem	5	0	813314	30.126	 - 	 - 	 - 	30.617	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	43.779	 - 	 - 	19.272	 - 	21.450	8.367
246	Heerde	5	0	2304372	54.748	 - 	 - 	 - 	31.835	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	56.912	 - 	 - 	31.826	 - 	29.687	11.880
252	Heumen	5	0	1255204	53.010	 - 	 - 	 - 	31.424	12.204	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	90.476	 - 	 - 	25.784	 - 	24.213	10.705
1705	Lingewaard	5	0	3846681	125.138	 - 	 - 	 - 	37.051	 - 	 - 	 - 	 - 	 - 	139.576	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	160.035	 - 	 - 	68.478	 - 	35.633	21.867
262	Lochem	5	0	2845573	92.463	 - 	 - 	 - 	34.657	15.671	 - 	 - 	 - 	 - 	101.153	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	123.066	 - 	 - 	59.446	 - 	38.564	24.046
263	Maasdriel	5	0	1548897	70.622	 - 	 - 	 - 	33.076	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	62.749	 - 	 - 	44.292	 - 	26.794	16.198
1955	Montferland	5	0	4683028	127.687	 - 	 - 	 - 	35.044	 - 	 - 	 - 	 - 	 - 	108.775	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	22.376	 - 	 - 	51.717	 - 	34.212	21.447
1740	Neder-Betuwe	5	0	1243741	88.640	 - 	 - 	 - 	32.927	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	119.661	 - 	 - 	52.979	 - 	22.350	14.181
267	Nijkerk	5	0	2172888	130.700	 - 	 - 	 - 	36.452	 - 	 - 	 - 	 - 	 - 	133.815	 - 	 - 	330.169	 - 	 - 	7.062	 - 	 - 	142.523	 - 	 - 	73.037	 - 	31.506	22.012
268	Nijmegen	5	61321309	23886516	1.018.312	150.000	314.536	 - 	61.327	74.752	 - 	20.000	10.521.351	1.490.026	551.795	284.028	136.659	510.387	370.500	178.595	7.062	30.000	218.680	410.545	1.603	400.077	307.712	5.990.093	195.401	87.254
302	Nunspeet	5	0	3805171	84.816	 - 	 - 	 - 	33.554	29.846	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	74.423	 - 	 - 	53.912	 - 	33.363	15.699
269	Oldebroek	5	0	2102578	73.866	 - 	 - 	 - 	32.762	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	256.127	370.500	 - 	7.062	 - 	 - 	32.104	 - 	 - 	45.436	 - 	24.439	14.027
1586	Oost Gelre	5	0	6326221	66.016	 - 	 - 	 - 	33.843	13.325	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	125.985	 - 	 - 	45.787	 - 	30.240	20.735
1509	Oude IJsselstreek	5	0	5137251	155.264	 - 	 - 	 - 	35.660	 - 	 - 	 - 	 - 	 - 	116.236	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	130.363	 - 	 - 	60.201	 - 	34.824	24.368
1734	Overbetuwe	5	0	3764251	143.388	 - 	 - 	 - 	37.310	2.448	 - 	 - 	 - 	 - 	144.311	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	121.121	 - 	 - 	79.835	 - 	39.628	25.063
273	Putten	5	0	2041004	72.418	 - 	 - 	 - 	32.874	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	121.121	 - 	 - 	40.189	 - 	31.251	16.755
274	Renkum	5	0	2460844	114.478	 - 	 - 	 - 	34.186	10.572	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	65.668	 - 	 - 	46.674	 - 	44.363	16.127
275	Rheden	5	0	6511142	235.677	 - 	 - 	 - 	36.438	37.087	 - 	 - 	 - 	 - 	128.800	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	106.041	 - 	 - 	67.550	 - 	55.532	22.540
277	Rozendaal	5	0	79825	2.086	 - 	 - 	 - 	28.664	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	 - 	 - 	 - 	3.384	 - 	12.029	4.268
279	Scherpenzeel	5	0	227026	33.979	 - 	 - 	 - 	30.227	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	9.242	 - 	 - 	17.048	 - 	21.889	8.143
281	Tiel	5	0	8764652	223.047	 - 	 - 	 - 	36.139	340	 - 	 - 	 - 	 - 	124.992	 - 	136.659	 - 	 - 	 - 	7.062	 - 	 - 	286.020	 - 	400.077	67.331	 - 	37.784	22.939
285	Voorst	5	0	2418872	46.637	 - 	 - 	 - 	32.953	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	67.613	 - 	 - 	48.796	 - 	28.028	17.351
289	Wageningen	5	0	3658918	145.995	 - 	 - 	 - 	35.714	28.690	 - 	 - 	 - 	 - 	125.608	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	23.835	 - 	 - 	49.239	 - 	57.822	22.139
1960	West Betuwe	5	0	3303138	127.745	 - 	 - 	 - 	37.920	 - 	 - 	 - 	 - 	 - 	156.197	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	134.741	 - 	 - 	93.754	 - 	33.888	28.742
668	West Maas en Waal	5	0	1191134	56.138	 - 	 - 	 - 	31.985	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	140.091	 - 	 - 	34.751	 - 	23.515	13.623
293	Westervoort	5	0	3003428	83.686	 - 	 - 	 - 	31.135	 - 	 - 	 - 	 - 	 - 	100.000	 - 	 - 	 - 	 - 	 - 	7.062	 - 	 - 	44.265	 - 	 - 	23.293	 - 	27.619	8.938
