CBS	Naam	Prov	herindeling	suppletie bommenregeling	Suppletie nieuwe verdeling GF	suppletie-uitkering ingroeipad decentralisatie-uitkering maatschappelijke opvang	ART.12	Beschermd wonen	Participatie	100 jaar vriendschap Turkije-Nederland	aanpak laaggeletterdheid	aanpak recreatieparken	alleenverdieners	armoedebestrijding kinderen	bed, bad en brood	beeldende kunst en vormgeving	begeleiding jongeren naar werk	behoud sociale voorzieningen Groningen	bodembescherming	BRP: Centralisering Inschrijving Vergunninghouders	dakloze EU burgers	einde lening inburgeringsplichtig	Ex Ante Impact Analyse NPLV	experiment gesloten coffeeshopketen	extra capaciteit BOA's	faciliteitenbesluit opvangcentra	gemeentelijke antidiscriminatie voorzieningen	jeugd	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	landelijke aanpak adreskwaliteit	LHBTI-beleid	maatschappelijke begeleiding	maatschappelijke opvang	Nationaal Actieplan Dakloosheid	Nederlands-Soedanese repatrianten	outreachend werken	personen met verward gedrag	regionale doelgroepen specifieke aanpak	Regionale Energie Strategieën	slavernijverleden	social labs	toekomstbestendig maken energiebeleid	Uitstapprogramma prostituees	uitvoeringskosten Lbv en Lbv-plus	uitvoeringskosten Omgevingswet	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	versterking omgevingsveiligheidsdiensten	voorschoolse voorziening peuters	vrouwenopvang	weerbare gemeenschappen tegen ondermijnende criminaliteit	Wet betaalbare huur	Wet kwaliteitsborging bouw	work in Nederland
226	Duiven	5	0	2108	86686	0	0	0	2084659	0	0	0	12280	89027	0	0	0	0	0	0	0	4078	0	0	33005	0	3500	0	37665	0	2909	0	0	0	0	0	0	0	0	0	0	0	0	0	13028	109498	7062	0	0	63236	0	0	9000	39200	0	0	22386	14866	0
228	Ede	5	0	186459	0	0	0	25575883	9413407	0	151666	0	67780	410709	110734	150000	267579	0	0	0	0	15971	0	0	50387	0	17126	58600	11116	0	19447	20000	2370	3708237	518777	5460	0	0	136659	0	0	0	0	0	230783	494599	7062	0	0	314719	0	400077	19000	207757	3079430	0	73220	61977	0
230	Elburg	5	0	0	1156210	0	0	0	3703140	0	0	0	12280	86193	0	0	0	0	0	0	0	3058	0	0	32700	0	3374	0	0	0	2727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123238	7062	0	0	27240	0	0	5000	40531	0	0	25363	12895	0
232	Epe	5	0	0	0	0	0	0	4375831	0	0	0	24280	110671	0	0	0	0	0	0	0	2718	0	0	34517	0	4672	0	0	0	2954	0	0	0	0	0	0	0	0	0	0	0	0	0	19542	194601	7062	0	0	72964	0	0	3000	54831	0	0	25681	20088	0
233	Ermelo	5	0	0	3522079	0	0	0	3973403	0	0	0	24280	73463	0	0	0	0	0	0	0	3058	0	0	33367	0	3859	0	0	0	6407	0	2370	0	0	0	0	0	0	0	0	0	0	0	32570	143174	7062	0	0	53994	0	0	7000	45026	0	0	26301	17102	0
243	Harderwijk	5	0	0	739166	0	0	0	5497954	0	0	0	79780	201716	0	0	0	0	0	0	0	7815	0	0	37405	412276	6864	0	61392	0	4681	0	4740	0	0	0	0	0	0	0	0	0	0	0	50251	169923	7062	0	0	175114	0	0	11000	77340	0	0	33652	23582	0
244	Hattem	5	0	0	-489141	0	0	0	861637	0	0	0	24280	31184	0	0	0	0	0	0	0	1360	0	0	30617	0	1763	0	0	0	1863	0	2370	0	0	0	0	0	0	0	0	0	0	0	6514	73930	7062	0	0	43779	0	0	4000	19272	0	0	21303	8367	0
246	Heerde	5	0	0	1125874	0	0	0	2575784	0	0	0	16780	45795	0	0	0	0	0	0	0	2378	0	0	31835	0	2697	0	0	0	2909	0	4740	0	0	0	0	0	0	0	0	0	0	0	0	119451	7062	0	0	56912	0	0	3000	31826	0	0	24689	11880	0
252	Heumen	5	0	0	500446	0	0	0	1272134	0	0	0	12280	45849	0	0	0	0	0	0	0	2718	0	0	31424	0	2361	0	12204	0	2863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93033	7062	0	0	90476	0	0	4000	25784	0	0	22439	10705	0
1705	Lingewaard	5	0	124070	1598803	0	0	0	4048715	0	0	0	31780	131470	0	0	0	0	0	0	0	6457	0	0	37051	0	6628	0	0	0	3363	0	11850	0	0	0	0	0	0	0	0	0	0	0	31640	177992	7062	0	0	160035	0	0	8000	68478	0	0	27134	21867	0
262	Lochem	5	0	45200	-686524	0	0	0	3011690	0	0	0	9280	105928	0	0	0	0	0	0	0	4078	0	0	34657	0	4816	0	15671	0	2182	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	227313	7062	0	0	123066	0	0	10000	59446	0	0	28338	24046	0
263	Maasdriel	5	0	41135	-899000	0	0	0	1676704	0	0	0	12280	71473	0	0	0	0	0	0	0	4078	0	0	33076	0	3652	0	0	0	4953	0	2370	0	0	0	0	0	0	0	0	0	0	0	6514	129081	7062	0	0	62749	0	0	5000	44292	0	0	23500	16198	0
1955	Montferland	5	0	0	-527200	0	0	0	4953995	0	0	0	43780	128662	0	0	0	0	0	0	0	5437	0	0	35044	0	5177	0	0	0	2636	0	0	0	0	0	0	0	0	0	0	0	0	0	13028	176462	7062	0	0	22376	0	0	8000	51717	0	0	26549	21447	0
1740	Neder-Betuwe	5	0	199492	0	0	0	0	1279376	0	0	0	24280	91672	0	0	0	0	0	0	0	2039	0	0	32927	0	3572	0	0	0	3772	0	0	0	0	0	0	0	0	0	0	0	0	0	13028	124553	7062	0	0	119661	0	0	5000	52979	0	0	21673	14181	0
267	Nijkerk	5	0	0	861187	0	0	0	2231560	0	0	0	28780	128117	0	0	0	0	0	0	0	4417	0	0	36452	0	6313	0	0	0	4090	0	0	0	0	0	0	0	0	330169	0	0	0	0	63279	176630	7062	0	0	142523	0	0	12000	73037	0	0	25437	22012	0
268	Nijmegen	5	0	2333198	-25355376	0	0	60921723	25226216	0	167233	0	270280	1018746	268926	150000	288625	0	314536	0	0	26844	0	196250	61327	118798	25613	605273	74752	0	96506	20000	4740	10521351	1490026	0	0	284028	136659	510387	0	0	370500	178595	0	499017	7062	30000	218680	410545	1603	400077	34000	307712	5989725	0	111647	87254	0
302	Nunspeet	5	0	179618	0	0	0	0	4045451	0	0	0	19780	88319	0	0	0	0	0	0	0	3058	0	0	33554	0	4033	0	29846	0	2772	0	11850	0	0	0	0	0	0	0	0	0	0	0	0	169074	7062	0	0	74423	0	0	6000	53912	0	0	26200	15699	0
269	Oldebroek	5	0	0	-39708	0	0	0	2386728	0	0	0	16780	69456	0	0	0	0	0	0	0	2718	0	0	32762	0	3406	0	0	0	2500	0	2370	0	0	0	0	0	0	256127	0	0	370500	0	6514	141821	7062	0	0	32104	0	0	7000	45436	0	0	22532	14027	0
1586	Oost Gelre	5	0	0	0	0	0	0	6630910	0	0	0	12280	69347	0	0	0	0	0	0	0	2718	0	0	33843	0	4189	0	13325	0	2227	0	9480	0	0	0	0	0	0	0	0	0	0	0	0	161714	7062	0	0	125985	0	0	7000	45787	0	0	24916	20735	0
1509	Oude IJsselstreek	5	0	117569	-2491823	0	0	0	5428727	0	0	0	67780	176801	0	0	0	0	0	0	0	3738	0	0	35660	0	5560	0	0	0	3408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199132	7062	0	0	130363	0	0	5000	60201	0	0	26801	24368	0
1734	Overbetuwe	5	0	622771	3468504	0	0	0	3890977	0	0	0	31780	152650	0	0	0	0	0	0	0	4757	0	0	37310	0	6837	0	2448	0	3863	0	0	0	0	0	0	0	0	0	0	0	0	0	26056	206611	7062	0	0	121121	0	0	13000	79835	0	0	28776	25063	0
273	Putten	5	0	0	-38101	0	0	0	2184067	0	0	0	28780	66784	0	0	0	0	0	0	0	2039	0	0	32874	0	3496	0	0	0	2727	0	2370	0	0	0	0	0	0	0	0	0	0	0	64210	136699	7062	0	0	121121	0	0	8000	40189	0	0	25332	16755	0
274	Renkum	5	0	32362	1009503	0	0	0	2538085	0	0	0	31780	121356	0	0	0	0	0	0	0	4078	0	0	34186	0	4416	0	10572	0	3681	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	131623	7062	0	0	65668	0	0	4000	46674	0	0	30722	16127	0
275	Rheden	5	0	34721	3039658	0	0	0	6906326	0	0	0	72280	220879	0	0	0	0	0	0	0	3738	0	0	36438	0	6115	0	37087	0	7816	0	4740	0	0	0	0	0	0	0	0	0	0	0	0	179754	7062	0	0	106041	0	0	11000	67550	0	0	35314	22540	0
277	Rozendaal	5	0	0	-305269	0	0	0	81320	0	0	0	9280	2835	0	0	0	0	0	0	0	680	0	0	28664	0	246	0	0	0	1682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50447	7062	0	0	0	0	0	0	3384	0	0	30006	4268	0
279	Scherpenzeel	5	0	0	607751	0	0	0	226745	0	0	0	9280	27586	0	0	0	0	0	0	0	680	0	0	30227	0	1458	0	0	0	2272	0	0	0	0	0	0	0	0	0	0	0	0	0	6514	63738	7062	0	0	9242	0	0	1000	17048	0	0	21483	8143	0
281	Tiel	5	0	105492	-39792	0	0	0	9154555	0	140518	0	72280	219652	0	0	233579	0	0	0	0	3058	0	0	36139	0	5980	0	340	0	7498	0	7110	0	0	0	0	0	136659	0	0	0	0	0	0	151502	7062	0	0	286020	0	400077	13000	67331	0	0	28018	22939	0
285	Voorst	5	0	19789	0	0	0	0	2466063	0	0	0	16780	48902	0	0	0	0	0	0	0	3398	0	0	32953	0	3539	0	0	0	3772	0	2370	0	0	0	0	0	0	0	0	0	0	0	57696	157522	7062	0	0	67613	0	0	7000	48796	0	0	24007	17351	0
289	Wageningen	5	0	0	-619906	0	0	0	3943044	0	0	0	48280	150714	0	0	0	0	0	0	0	3058	0	0	35714	211483	5749	0	28690	0	37940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146238	7062	0	0	23835	0	0	3000	49239	0	0	36255	22139	0
1960	West Betuwe	5	0	0	0	0	0	0	3382851	0	0	0	24280	141583	0	0	0	0	0	0	0	3738	0	0	37920	0	7400	0	0	0	4635	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	272975	7062	0	0	134741	0	0	15000	93754	0	0	26416	28742	0
668	West Maas en Waal	5	0	0	-1329025	0	0	0	1207445	0	0	0	9280	62968	0	0	0	0	0	0	0	1020	0	0	31985	0	2816	0	0	0	3227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120113	7062	0	0	140091	0	0	4000	34751	0	0	22152	13623	0
293	Westervoort	5	0	20037	1847464	0	0	0	3146104	0	0	0	19780	77960	0	0	0	0	0	0	0	680	0	0	31135	0	2121	0	0	0	2772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71535	7062	0	0	44265	0	0	2000	23293	0	0	23839	8938	0
296	Wijchen	5	0	0	-197273	0	0	0	4482652	0	0	0	40780	153222	0	0	0	0	0	0	0	8155	0	0	36017	0	5830	0	0	0	2727	0	0	0	0	0	0	0	0	0	0	0	0	0	6514	166563	7062	0	0	145928	0	0	10000	63772	0	0	25588	22499	0
294	Winterswijk	5	0	0	-2244900	0	0	0	6824252	0	0	0	24280	102221	0	0	0	0	0	0	0	3738	0	0	33740	70511	4106	0	55817	0	3545	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	175321	7062	0	0	230567	0	0	5000	50683	0	0	26985	20910	0
297	Zaltbommel	5	0	0	91087	0	0	0	3233026	0	0	0	51280	97887	0	0	0	0	0	0	0	5097	0	0	33819	0	4260	0	4487	0	4681	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	146182	7062	0	0	220352	0	0	9000	53949	0	0	24346	17116	0
299	Zevenaar	5	0	0	-585719	0	0	0	5218310	0	0	0	57280	169686	0	0	0	0	0	0	0	3398	0	0	36544	0	6322	0	14549	0	3454	0	2370	0	0	0	0	0	0	0	0	0	0	0	31640	188940	7062	0	0	133767	0	0	10000	72965	0	0	27086	24439	0
301	Zutphen	5	0	15282	4030759	0	0	0	10943259	0	0	0	67780	258496	0	0	0	0	0	0	0	8495	0	0	37290	438792	6809	0	57551	0	4135	0	7110	0	0	0	0	0	0	0	0	0	0	0	0	170027	7062	0	0	124039	0	0	10000	77886	0	0	35654	25527	0
307	Amersfoort	6	0	203349	1299316	0	0	27343067	18624734	0	158461	0	147280	707340	0	150000	275088	0	294662	0	0	7816	0	0	57627	199703	22564	128380	107283	0	14086	20000	9480	4397248	626144	0	0	0	136659	276667	0	0	370500	0	0	452009	7062	0	0	171709	0	400077	30000	267189	4413643	0	84806	71688	0
308	Baarn	6	0	0	3155479	0	0	0	894200	0	0	0	19780	76488	0	0	0	0	0	0	0	2039	0	0	32954	0	3510	0	27943	0	6498	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	108941	7062	0	0	45238	0	0	7000	39086	0	0	27111	14760	0
312	Bunnik	6	0	0	1057607	0	0	0	558639	0	0	0	12280	33283	0	0	0	0	0	0	0	1020	0	0	31196	0	2249	0	0	0	4226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89615	7062	0	0	35509	0	0	3000	25558	0	0	22716	9923	0
313	Bunschoten	6	0	0	287828	0	0	0	1165024	0	0	0	28780	61332	0	0	0	0	0	0	0	2039	0	0	32438	0	3158	0	0	0	3045	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	101759	7062	0	0	52048	0	0	4000	35094	0	0	24970	12103	0
310	De Bilt	6	0	0	1132782	0	0	0	1113232	0	0	0	40780	155921	0	0	0	0	0	0	0	4757	0	0	36411	0	6160	0	0	0	3999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172198	7062	0	0	35509	0	0	9000	73900	0	0	31207	21492	0
736	De Ronde Venen	6	0	0	-973280	0	0	0	1970550	0	0	0	16780	137385	0	0	0	0	0	0	0	7136	0	0	36660	0	6396	0	0	0	2999	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	194174	7062	0	0	190680	0	0	8000	79712	0	0	28676	21831	0
317	Eemnes	6	0	0	752954	0	0	0	267894	0	0	0	12280	21098	0	0	0	0	0	0	0	340	0	0	30084	0	1347	0	0	0	1909	0	4740	0	0	0	0	0	0	0	0	0	0	0	0	71008	7062	0	0	79288	0	0	4000	15502	0	0	30006	7331	0
321	Houten	6	0	0	4060380	0	0	0	813221	0	0	0	36280	131660	0	0	0	0	0	0	0	6457	0	0	37683	0	7100	0	0	0	2772	0	4740	0	0	0	0	0	0	0	0	0	0	0	0	182464	7062	0	0	62263	0	0	9000	83445	0	0	28709	23189	0
353	IJsselstein	6	0	0	3187555	0	0	0	2930756	0	0	0	57280	139347	0	0	0	0	0	0	0	2038	0	0	34633	0	4701	0	68	0	2590	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	123205	7062	0	0	41346	0	0	3000	49676	0	0	27484	17054	0
327	Leusden	6	0	0	1594251	0	0	0	1594920	0	0	0	16780	83140	0	0	0	0	0	0	0	680	0	0	34023	0	4417	0	31512	0	2363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138329	7062	0	0	58858	0	0	4000	46087	0	0	25222	16223	0
331	Lopik	6	0	0	-390248	0	0	0	858381	0	0	0	9280	53973	0	0	0	0	0	0	0	2039	0	0	31031	0	2064	0	0	0	2909	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	107093	7062	0	0	87557	0	0	2000	32522	0	0	21708	10028	0
335	Montfoort	6	0	0	0	0	0	0	509205	0	0	0	9280	39253	0	0	0	0	0	0	0	1020	0	0	30927	0	1955	0	0	0	2272	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	84934	7062	0	0	113824	0	0	1000	22436	0	0	21797	9378	0
356	Nieuwegein	6	0	0	2759253	0	0	0	3218880	0	0	0	79780	288999	0	0	0	0	0	0	0	7136	0	0	40221	0	9183	0	0	0	4681	0	4740	0	0	0	0	0	0	0	0	0	0	0	0	201371	7062	0	0	151279	0	0	15000	95051	0	0	36797	31889	0
589	Oudewater	6	0	0	-201207	0	0	0	514278	0	0	0	19780	41215	0	0	0	0	0	0	0	340	0	0	30228	0	1436	0	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76786	7062	0	0	77342	0	0	2000	16085	0	0	21352	8401	0
339	Renswoude	6	0	0	0	0	0	0	311184	0	0	0	9280	11694	0	0	0	0	0	0	0	0	0	0	29376	0	807	0	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	370500	0	13028	55005	7062	0	0	0	0	0	0	9834	0	0	22361	6658	0
340	Rhenen	6	0	0	0	0	0	0	1513385	0	0	0	28780	74417	0	0	0	0	0	0	0	4417	0	0	32100	0	2853	0	0	0	3136	0	0	0	0	0	0	0	0	0	0	0	0	0	6514	102692	7062	0	0	51561	0	0	2000	37373	0	0	22654	11876	0
342	Soest	6	0	0	1553177	0	0	0	3233098	0	0	0	57280	188904	0	0	0	0	0	0	0	5776	0	0	37066	0	6659	0	544	0	3817	0	7110	0	0	0	0	0	0	0	0	0	0	0	0	170292	7062	0	0	108473	0	0	5000	69775	0	0	34337	22866	0
1904	Stichtse Vecht	6	0	0	301645	0	0	0	3326937	0	0	0	60280	196918	0	0	0	0	0	0	0	5437	0	0	40452	0	9232	0	0	0	4044	0	18960	0	0	0	0	0	0	0	0	0	0	0	0	240971	7062	0	0	142037	0	0	14000	106785	0	0	37941	28897	0
344	Utrecht	6	0	185909	8341609	0	0	99909506	19972294	0	270060	0	852280	1973488	0	951227	582831	0	0	0	998494	43495	12389	0	95177	223354	51645	907524	109255	0	163569	50000	49770	26075008	3693552	9100	0	710071	136659	562946	0	0	370500	518448	0	967873	7062	50000	546700	430002	4809	400077	62000	608582	12827027	35000	324217	191409	177438
1581	Utrechtse Heuvelrug	6	0	27412	4511203	0	0	0	1647890	0	0	0	36280	140928	0	0	0	0	0	0	0	4758	0	0	37632	0	7078	0	42730	0	8724	0	7110	0	0	0	0	0	0	0	0	0	0	0	0	223133	7062	0	0	127444	0	0	8000	85054	0	0	33202	24798	0
345	Veenendaal	6	0	0	543397	0	0	0	7910697	0	0	0	142780	310097	0	0	0	0	0	0	0	12573	0	0	40787	0	9618	0	1938	0	4362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206801	7062	0	0	81233	0	0	11000	109351	0	0	35203	31881	0
1961	Vijfheerenlanden	6	0	0	2781342	0	0	0	4041308	0	0	0	115780	228838	0	0	0	0	0	0	0	6797	0	0	39098	0	8429	0	1462	136010	3863	0	9480	0	0	0	0	0	0	0	0	0	0	0	0	253848	7062	0	0	147874	0	0	9000	105280	0	0	27690	27770	0
352	Wijk bij Duurstede	6	0	0	1367484	0	0	0	1350202	0	0	0	16780	78151	0	0	0	0	0	0	0	1360	0	0	32792	0	3368	0	0	0	3272	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	114526	7062	0	0	42806	0	0	3000	35483	0	0	22866	13246	0
632	Woerden	6	0	0	2345269	0	0	0	6229006	0	0	0	51280	175493	0	0	0	0	0	0	0	8156	0	0	38143	0	7473	0	0	0	3499	0	7110	0	0	0	0	0	0	0	0	0	0	0	0	207008	7062	0	0	76856	0	0	10000	85883	0	0	32743	25261	0
351	Woudenberg	6	0	0	1263869	0	0	0	483642	0	0	0	16780	40561	0	0	0	0	0	0	0	340	0	0	30880	0	2015	0	0	0	2182	0	0	0	0	0	0	0	0	0	0	0	0	0	6514	85399	7062	0	0	44265	0	0	4000	23421	0	0	21649	9680	0
355	Zeist	6	0	0	6493787	0	0	0	6264068	0	0	0	147280	340790	42938	0	0	0	0	0	0	4758	0	0	40439	208206	9352	0	60270	0	12723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217737	7062	0	0	154198	0	0	7000	107880	0	0	48129	30690	0
358	Aalsmeer	7	0	21189	0	0	0	0	905442	0	0	0	24280	87665	0	0	0	0	0	0	0	2038	0	0	34293	0	4641	0	374	0	4090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121671	7062	0	0	139605	0	0	3000	46890	0	0	28580	17876	0
361	Alkmaar	7	0	37478	1086502	0	0	21382510	12871591	0	210775	0	136780	512739	0	150000	479205	0	311944	0	0	20048	0	0	48781	0	15697	165775	0	79330	9769	20000	2370	3619119	513905	0	0	327033	136659	0	0	0	0	234266	0	359429	7062	0	251790	151766	5610	400077	19000	175850	5704650	0	72217	56877	0
362	Amstelveen	7	0	0	-6777832	0	0	0	2576164	0	0	0	79780	325634	0	0	0	0	0	0	0	18009	0	0	45235	47651	13253	0	0	0	15767	17500	0	0	0	0	0	0	0	0	0	0	0	0	0	280830	7062	0	0	99231	0	0	14000	141900	0	0	90138	44948	0
363	Amsterdam	7	1127200,65	93567	13920857	1387570	0	122993822	80056564	50000	521777	0	2091280	6750659	0	2605874	1104923	0	0	0	2505751	159709	24778	0	194565	238317	128867	4209153	175202	54983	226089	50000	260700	64598139	9269077	0	0	879088	136659	0	958000	215702	0	470264	0	2344676	7062	50000	676830	416382	15228	400077	235000	1658060	24281052	35000	666144	696376	0
373	Bergen (NH.)	7	0	0	1106731	0	0	0	1438892	0	0	0	9280	79160	0	0	0	0	0	0	0	3058	0	0	33869	0	4230	0	2040	44793	2636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156296	7062	0	0	39887	0	0	6000	36908	0	0	29989	18447	0
375	Beverwijk	7	0	0	3567569	0	0	0	5417948	0	0	0	48280	218998	0	0	0	0	0	0	0	8835	0	0	36129	0	5995	0	0	0	4953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144069	7062	0	0	70532	0	0	13000	67195	0	0	30895	25575	0
376	Blaricum	7	0	0	0	0	0	0	188054	0	0	0	19780	40888	0	0	0	0	0	0	0	1360	0	0	30566	0	1753	0	0	0	1727	0	4740	0	0	0	0	0	0	0	0	0	0	0	0	67329	7062	0	0	0	0	0	0	21839	0	0	23178	7968	0
377	Bloemendaal	7	0	0	1133707	0	0	0	995520	0	0	0	12280	54218	0	0	0	0	0	0	0	7475	0	0	32709	0	3358	0	0	0	2818	0	4740	0	0	0	0	0	0	0	0	0	0	0	0	110217	7062	0	0	10215	0	0	1000	39101	0	0	25783	12224	0
383	Castricum	7	0	0	931297	0	0	0	923254	0	0	0	16780	73272	0	0	0	0	0	0	0	3058	0	0	35054	0	5101	0	0	20837	2363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145297	7062	0	0	66154	0	0	4000	51171	0	0	26947	17817	0
400	Den Helder	7	0	99289	1349696	0	0	8322505	7734886	0	0	0	57280	342235	0	0	0	0	0	0	0	6796	0	0	38866	639117	7936	0	93686	43710	6634	0	4740	1778718	255231	0	0	0	0	0	0	0	0	0	0	191540	7062	0	0	185815	0	0	8000	90209	1774057	0	32106	31546	0
384	Diemen	7	0	0	3261099	0	0	0	2042580	0	0	0	19780	127899	0	0	0	0	0	0	0	5777	0	0	34170	0	4602	0	0	0	10087	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	116671	7062	0	0	49129	3206	0	9000	43363	0	0	49490	19993	0
1980	Dijk en Waard	7	1269310,15	0	3071178	0	0	0	6485736	0	0	0	72280	313859	0	0	0	0	0	0	0	9175	0	0	44471	0	12490	0	55205	0	5226	0	2370	0	0	320	0	0	0	0	0	0	0	0	0	278577	7062	0	0	267535	0	0	9000	135760	0	0	37915	36780	0
498	Drechterland	7	0	0	0	0	0	0	1393024	0	0	0	12280	60079	0	0	0	0	0	0	0	2378	0	0	32032	0	2861	0	0	51617	2818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111805	7062	0	0	16052	0	0	2000	36795	0	0	22709	12458	0
385	Edam-Volendam	7	0	15898	-1099253	0	0	0	1836727	0	0	0	12280	92898	0	0	0	0	0	0	0	3058	0	0	35088	0	5160	0	0	51805	2091	0	14220	0	0	0	0	0	0	0	0	0	0	0	0	148983	7062	0	0	64695	0	0	4000	55524	0	0	23850	17856	0
388	Enkhuizen	7	0	0	0	0	0	0	1772131	0	0	0	24280	88973	0	0	0	0	0	0	0	340	0	0	31809	0	2651	0	4079	11396	2818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83606	7062	0	0	83179	0	0	3000	27445	0	0	23838	12054	0
1942	Gooise Meren	7	0	0	0	0	0	0	1756796	0	0	0	40780	184270	0	0	0	0	0	0	0	7136	0	0	39227	0	8469	0	0	0	4044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198792	7062	0	0	85611	0	0	11000	104827	0	0	39689	28172	0
392	Haarlem	7	0	8006	2727691	0	0	47538018	18162842	0	173174	0	286780	781376	0	150000	313979	0	287749	0	0	19709	0	0	58572	0	23215	313817	9654	0	20220	20000	11850	7727111	1106369	0	0	285029	136659	0	0	0	0	185999	0	445434	7062	0	219450	88043	0	400077	15000	259778	7093481	0	106115	89712	0
394	Haarlemmermeer	7	0	667455	0	0	0	0	6220226	0	0	0	108280	563441	0	150000	0	0	0	70542	0	23786	0	0	57688	0	22780	0	57313	0	11541	20000	28440	0	0	0	0	0	0	0	0	0	0	0	0	527330	7062	0	0	1134350	0	0	31000	260363	0	0	79104	71688	0
396	Heemskerk	7	0	0	607303	0	0	0	4656732	0	0	0	51280	191848	0	0	0	0	0	0	0	9515	0	0	35632	0	5535	0	0	0	2681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140899	7062	0	0	10215	0	0	8000	58489	0	0	26534	20754	0
397	Heemstede	7	0	0	2455953	0	0	0	1487760	0	0	0	9280	52828	0	0	0	0	0	0	0	4757	0	0	33466	0	3899	0	0	0	2999	0	7110	0	0	0	0	0	0	0	0	0	0	0	0	103185	7062	0	0	10215	0	0	2000	40826	0	0	28897	15016	0
399	Heiloo	7	0	0	0	0	0	0	1074783	0	0	0	12280	55199	0	0	0	0	0	0	0	3738	0	0	32833	0	3413	0	0	0	2045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99919	7062	0	0	10215	0	0	4000	33009	0	0	24692	13080	0
402	Hilversum	7	0	61918	-2584753	0	0	13517543	8069266	0	141457	0	103780	409864	4520	0	222005	0	0	0	0	9174	0	0	45311	0	13102	0	0	0	14449	20000	2370	2260176	326708	0	0	128013	136659	0	0	0	0	0	0	280499	7062	0	98560	71991	0	400077	12000	155639	2978088	0	71796	47540	0
1911	Hollands Kroon	7	0	0	-949393	0	0	0	3266940	0	0	0	28780	181544	0	0	0	0	0	0	0	4078	0	0	37378	0	6938	0	0	54400	4544	0	2370	0	0	0	0	0	0	0	0	0	0	0	0	340636	7062	0	0	489346	0	0	14000	89250	0	0	26046	31126	0
405	Hoorn	7	0	0	604269	0	0	11585265	6726726	0	0	0	142780	383205	0	0	0	0	0	0	0	4418	0	0	42034	0	10557	0	0	14537	5135	20000	11850	2265141	322808	0	0	0	0	0	0	0	0	0	0	223595	7062	0	0	104582	0	0	7000	115425	0	0	54687	32985	0
406	Huizen	7	0	0	0	0	0	0	1814436	0	0	0	40780	178164	0	0	0	0	0	0	0	3058	0	0	35985	0	5790	0	0	0	3181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139192	7062	0	0	25781	0	0	4000	62109	0	0	28280	20943	0
1598	Koggenland	7	0	0	0	0	0	0	696444	0	0	0	9280	57571	0	0	0	0	0	0	0	4757	0	0	32609	0	3300	0	12476	68344	2727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130886	7062	0	0	58371	0	0	3000	47108	0	0	28491	13365	0
415	Landsmeer	7	0	0	0	0	0	0	184114	0	0	0	9280	38871	0	0	0	0	0	0	0	2038	0	0	30494	0	1643	0	748	25476	1863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71517	7062	0	0	26267	0	0	1000	22208	0	0	22696	7750	0
417	Laren	7	0	0	167925	0	0	0	195032	0	0	0	9280	41788	0	0	0	0	0	0	0	1020	0	0	30463	0	1644	0	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66188	7062	0	0	0	0	0	2000	16113	0	0	25029	8404	0
