CBS	Naam	Prov	herindeling	suppletie bommenregeling	Suppletie nieuwe verdeling GF	suppletie-uitkering ingroeipad decentralisatie-uitkering maatschappelijke opvang	ART.12	Beschermd wonen	Participatie	100 jaar vriendschap Turkije-Nederland	aanpak laaggeletterdheid	aanpak recreatieparken	alleenverdieners	armoedebestrijding kinderen	bed, bad en brood	beeldende kunst en vormgeving	begeleiding jongeren naar werk	behoud sociale voorzieningen Groningen	bodembescherming	BRP: Centralisering Inschrijving Vergunninghouders	dakloze EU burgers	einde lening inburgeringsplichtig	Ex Ante Impact Analyse NPLV	experiment gesloten coffeeshopketen	extra capaciteit BOA's	faciliteitenbesluit opvangcentra	gemeentelijke antidiscriminatie voorzieningen	jeugd	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	landelijke aanpak adreskwaliteit	LHBTI-beleid	maatschappelijke begeleiding	maatschappelijke opvang	Nationaal Actieplan Dakloosheid	Nederlands-Soedanese repatrianten	outreachend werken	personen met verward gedrag	regionale doelgroepen specifieke aanpak	Regionale Energie Strategieën	slavernijverleden	social labs	toekomstbestendig maken energiebeleid	Uitstapprogramma prostituees	uitvoeringskosten Lbv en Lbv-plus	uitvoeringskosten Omgevingswet	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	versterking omgevingsveiligheidsdiensten	voorschoolse voorziening peuters	vrouwenopvang	weerbare gemeenschappen tegen ondermijnende criminaliteit	Wet betaalbare huur	Wet kwaliteitsborging bouw	work in Nederland
59	Achtkarspelen	2	0	0	957465	0	0	0	5430281	0	0	0	48280	137548	0	0	0	0	0	0	0	2039	0	0	33532	0	3951	0	578	0	2045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153513	7062	0	0	146901	0	0	7000	56900	0	0	22294	16245	0
60	Ameland	2	0	0	0	0	0	0	299632	0	0	0	9280	5534	0	0	0	0	0	0	0	0	0	0	29040	0	539	0	0	0	3090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72052	7062	0	0	22376	0	0	1000	7718	0	0	21833	6626	0
1891	Dantumadiel	2	0	0	-516328	0	0	0	5819648	0	0	0	16780	75643	0	0	0	0	0	0	0	1360	0	0	31866	0	2694	0	0	0	2318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122572	7062	0	0	67613	0	0	2000	37448	0	0	20762	11853	0
1940	De Fryske Marren	2	0	0	-6320245	0	0	0	3576929	0	0	0	24280	178109	0	0	0	0	0	0	0	2378	0	0	37972	220317	7298	0	43920	0	3090	0	4740	0	0	0	0	0	0	0	0	0	0	0	0	343345	7062	0	0	307812	0	0	9000	110888	0	0	26680	31741	0
72	Harlingen	2	0	0	-1954558	0	0	0	2251679	0	0	0	12280	84721	0	0	0	0	0	0	0	2039	0	0	31283	0	2272	0	0	0	2182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83650	7062	0	0	283101	0	0	6000	28071	0	0	24317	11137	0
74	Heerenveen	2	0	12920	-4760429	0	0	0	9295360	0	0	0	40780	198308	0	0	0	0	0	0	0	7815	0	0	37763	0	7248	0	1700	0	3999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256765	7062	0	0	113941	0	0	16000	102574	0	0	32821	30072	0
80	Leeuwarden	2	0	0	-4094978	0	0	48084308	15534010	0	220610	0	103780	767746	0	150000	499676	0	355328	0	0	15971	12389	0	51493	0	17836	142644	67239	0	26172	20000	16590	14787102	2107986	0	178600	352035	136659	493820	0	0	370500	223380	0	463813	7062	30000	271040	381574	0	400077	32000	258187	6885129	0	103652	70331	0
1970	Noardeast-Fryslân	2	0	25673	0	0	0	0	11647744	0	0	0	51280	200625	0	0	0	0	0	0	0	3738	0	0	36801	0	6430	0	2176	0	2772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341643	7062	0	0	52534	0	0	8000	104483	0	0	28737	28011	0
85	Ooststellingwerf	2	0	0	134643	0	0	0	3135931	0	0	0	16780	111625	0	0	0	0	0	0	0	2718	0	0	33079	0	3626	0	0	0	2727	0	0	0	0	0	0	0	0	0	0	0	0	0	6514	212385	7062	0	0	78315	0	0	5000	53890	0	0	22781	18931	0
86	Opsterland	2	0	0	0	0	0	0	3897302	0	0	0	31780	110317	0	0	0	0	0	0	0	1020	0	0	33887	0	4218	0	7581	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	6514	223153	7062	0	0	142037	0	0	6000	63208	0	0	24152	19867	0
88	Schiermonnikoog	2	0	0	-107983	0	0	0	11296	0	0	0	9280	2017	0	0	0	0	0	0	0	0	0	0	28516	0	138	0	0	0	2091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55272	7062	0	0	12161	0	0	0	1685	0	0	30006	4660	0
90	Smallingerland	2	0	0	-812272	0	0	0	12497478	0	0	0	96280	306281	99435	0	0	0	0	0	0	3738	0	0	38765	0	7874	0	107249	0	4726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228789	7062	0	0	177060	0	0	15000	104291	0	0	31644	29470	0
1900	Súdwest-Fryslân	2	0	1048360	-8380187	0	0	0	17061659	0	0	0	76780	415016	0	0	0	0	0	0	0	8495	0	0	45081	209872	12756	0	65675	0	3363	20000	4740	0	0	0	0	0	0	0	0	0	0	0	0	528409	7062	0	0	344114	0	0	23000	200509	0	0	37288	51488	0
93	Terschelling	2	0	0	-595462	0	0	0	230518	0	0	0	9280	7632	0	0	0	0	0	0	0	0	0	0	29249	0	692	0	0	0	3908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88583	7062	0	0	10215	0	0	0	10699	0	0	21044	6524	0
737	Tytsjerksteradiel	2	0	0	0	0	0	0	3932904	0	0	0	24280	98105	0	0	0	0	0	0	0	2378	0	0	34305	187706	4549	0	139679	0	3726	0	4740	0	0	0	0	0	0	0	0	0	0	0	0	188466	7062	0	0	154198	0	0	9000	69581	0	0	24922	18507	0
96	Vlieland	2	0	0	-295028	0	0	0	11296	0	0	0	9280	2481	0	0	0	0	0	0	0	0	0	0	28565	0	181	0	0	0	2454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55320	7062	0	0	10215	0	0	0	2804	0	0	30006	4423	0
1949	Waadhoeke	2	0	0	-148087	0	0	0	6301009	0	0	0	36280	189722	0	0	0	0	0	0	0	3058	0	0	36926	85606	6557	0	55715	0	3817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295702	7062	0	0	230611	0	0	9000	100762	0	0	26744	27094	0
98	Weststellingwerf	2	0	0	-2359556	0	0	0	5216275	0	0	0	31780	96088	0	0	0	0	0	0	0	1360	0	0	33203	0	3715	0	0	0	2272	0	2370	0	0	0	0	0	0	0	0	0	0	0	6514	212212	7062	0	0	146901	0	0	7000	54431	0	0	23220	19646	0
1680	Aa en Hunze	3	0	0	0	0	0	0	104424	0	0	0	12280	72127	0	0	0	0	0	0	0	2039	0	0	33067	0	3611	0	11796	0	3545	0	11850	0	0	0	0	0	0	0	0	0	0	0	0	240170	7062	0	0	57398	0	0	8000	60895	0	0	21367	17250	0
