CBS	Naam	Prov	vest	bo31	bo31hk	bo3_nw	doelgroep	ephh	groei_jong	groei_llvo	kernen500	lidr_w_nw	inwo	inw75+dr	wad1	wad3	wad2	jong	kernen	LOdr	ll_so	ll_vo	loonksub	nwmigr	cf.landelijk	cf.lokaal	cf.regionaal	oeverdhbftot	oeverbftot	oadw	goab	opbebnk	opbebnkbfnk	opbebk	opbebkbfk	biwa	buiwamax	histk40	histk65	histk4164	landbftot	land	WOZnwe70	WOZnwg70	WOZwe80	vast nieuw	Amsterdam	Den Haag	Rotterdam	woonr	woonrbfk
1961	Vijfheerenlanden	6	7865,455468	2225	1400	722,3825318	275,7364989	7278,819244	0	0	6	4218,325694	60152,3709	2008,288716	0	0	0	12463,76195	20	7828,622524	177,9173926	1380,178226	99,05493276	7053,158205	16324,78957	56965,02996	19224,05604	51852,45771	6864,64	23325,9654	3162,873378	112,4060173	145,0037623	324,375345	392,3752101	710	0	20	0	0	18716,16	14622	993106429,6	937607143,6	7826525941	1	0	0	0	25492,85836	30846,35861
352	Wijk bij Duurstede	6	3311,770723	591	591	245,74879	93,46999962	3071,13653	0	0	3	1368,971029	24476,1663	576,7223989	0	0	0	4666,086806	5	1719,530332	149,6123528	586,9634366	27,5152591	1392,374433	7334,03294	23466,88501	9940,342166	7806,789214	1405,08	12135,37027	659,4531242	36,13050557	39,02094601	104,0830546	112,3756298	278	0	13	0	0	5142,96	4762	223834868,9	200679537,6	3409037764	1	0	0	0	10552,49589	11396,69556
632	Woerden	6	8317,555747	1651	1651	616,6841275	267,5578739	7332,158957	0	0	4	2941,97965	54109,30254	1564,999077	0	0	0	11301,78317	10	4045,635774	843,0858262	3929,631039	64,66085888	5252,619752	25517,58568	52782,81283	24658,91792	233177,7497	15834,2	32185,2458	992,3515225	65,23563505	111,5529359	267,7864997	366,7563142	394	0	9	0	0	14592,72	8898	808966414,4	773682100,1	7640745995	1	0	0	0	23104,98622	31653,83112
351	Woudenberg	6	1890,105988	0	0	94,79825635	74,7759997	1482,228552	0	0	1	733,2222167	14194,96907	442,1749669	0	0	0	3296,143103	2	1093,737001	0	0	20,63644432	919,1559934	3010,388176	12960,83232	3424,5691	2263,8265	601	5758,380947	306,1792885	38,13775587	38,13775587	66,69399616	66,67378251	31	0	0	0	0	3652	3652	191858459	188918099,5	2043094345	1	0	0	0	5798,973763	5798,973763
355	Zeist	6	10490,90528	4932	0	1227,753027	419,4466233	12531,75517	0	0	3	4573,270296	67518,44762	3054,178622	0	0	0	13950,81211	4	3264,395059	3776,322389	4944,604802	93,55188094	10019,42989	53095,97401	66531,59909	52974,75033	7717,698458	569	52040,03298	2602,24013	25,09062887	25,09062887	289,0073167	288,9197242	14	0	0	0	0	4851	4851	1150415664	1122114704	12272147897	1	0	0	0	32044,35528	32044,35528
358	Aalsmeer	7	5387,074417	1605	0	248,0609426	114,5007495	4400,52629	0	0	2	1867,347998	33205,1565	1172,459786	0	0	0	6822,460977	3	3277,907871	0	0	16,50915546	3626,259262	5768,227009	28659,29952	5273,230296	100204,0173	4383,72	12994,28304	344,6695454	65,23563505	75,02098031	228,3764111	299,082425	1231	0	0	0	0	2457,54	1998	834694560,2	834694560,2	5613658799	1	0	0	0	13649,45697	17880,78863
361	Alkmaar	7	16281,05706	7019	7019	2341,549963	1155,52287	22556,54385	0	0	5	9905,924065	113354,0877	3201,970977	0	0	0	20504,73586	12	9740,935639	3502,248325	5222,966591	375,5832867	15815,56882	125274,5764	118486,0501	127870,7837	207864,9356	12191,6	126381,0625	5141,172999	81,29363752	96,73942865	499,1944561	543,9570444	716	0	0	0	47	12780,88	11018	2257461025	2213723178	15018101622	1	0	0	0	54474,5959	59377,30953
362	Amstelveen	7	13715,52415	1241	0	1123,375853	339,9971236	19552,08196	613,6432308	0	1	6387,588723	94473,84768	3795,500876	0	0	0	19373,04323	8	3380,104767	454,9024242	4559,240433	60,53357002	27084,67312	73057,47413	93968,55979	65703,23725	197635,2596	5079,36	111084,4444	1129,960415	25,09062887	33,37053639	317,3017393	415,5392984	286	0	0	0	0	5441,04	4122	1965262798	1938799562	19568012581	1	0	0	0	44203,91741	57907,1318
363	Amsterdam	7	201446,08	200691	198362	42684,64903	5409,576228	275696,5623	0	0	4	87906,6671	924365,3759	0	0	0	0	150155,7233	23	57304,43185	17467,0053	33380,92855	1326,235489	343058,1863	2213817,241	969698,5619	1695343,54	1455122,253	19557,28	2988828,758	84134,82195	287,0367942	353,0552569	2353,489652	2917,442681	3329	2095	19	425	0	23486,84	18941	23242439412	23242439412	1,94044E+11	1	1	0	0	492637,0131	610869,8962
373	Bergen (NH.)	7	5310,816538	1819	0	290,0099968	133,1947495	5444,753741	0	0	5	1544,9282	30412,82099	3476,923331	0	0	0	4433,892958	6	2109,700263	572,3499592	1473,99933	37,14559978	1278,004566	3818,546076	24901,36528	4566,092133	7308,082231	2330,89	15549,66885	129,2336519	30,10875464	31,01201728	189,9768375	195,616837	104	2058	0	0	0	10157,86	9862	527426989,8	491407585,7	7728057719	1	0	0	0	18893,88682	19460,70343
375	Beverwijk	7	5795,598766	3506	2217	896,1242839	300,2723738	7753,747839	0	0	2	3838,936984	43060,69907	1061,08004	0	0	0	8046,021602	3	5086,422572	538,2450412	1085,533436	57,78204411	7349,050888	25477,17779	41943,395	25790,33897	14227,02086	611,82	56285,98278	3526,225388	48,17400742	50,58270779	197,0504432	200,9305355	52	120	17	0	0	1892,11	1837	799042701	789118987,6	5515190576	1	0	0	0	20195,9034	20599,82147
376	Blaricum	7	2429,358129	779	0	110,3227095	37,38799985	1544,800138	911,7849461	0	2	466,2561995	12645,83167	582,973303	0	0	0	2898,384946	3	314,3980892	0	0	8,25457773	1343,058986	727,3421097	8364,434262	717,240136	3206,831085	404	5911,506784	117,8409342	2,007250309	2,007250309	66,69399616	66,67378251	455	0	0	0	0	1102	1102	101442403,6	99604678,92	3840745733	1	0	0	0	5438,368706	5438,368706
377	Bloemendaal	7	4455,638901	2464	0	212,3877311	39,72474984	3218,846503	0	0	3	642,1123614	24282,77992	2162,769101	0	0	0	5297,04835	5	186,9772781	0	1362,344463	2,75152591	1462,675177	1282,950666	14243,78298	1151,625007	7152,468674	1182,71	11825,52265	0	10,03625155	10,03625155	112,1671754	115,4971751	79	458	0	0	0	4025,86	3986	249195469,8	198841812,9	8224764416	1	0	0	0	10750,47514	11072,98939
383	Castricum	7	5169,194764	0	0	354,4199619	156,5622494	5522,711783	0	0	3	1659,876111	37104,60342	2627,36864	0	0	0	6608,438822	7	1705,316856	67,12746435	2642,498536	61,90933297	1834,114927	10213,09546	32447,53967	11182,88494	18679,12386	2034,24	22608,03507	0	21,07612825	22,12993466	174,8191111	180,0091107	567	520	0	0	0	5151,12	4953	302857031,1	293668407,6	6423232508	1	0	0	0	16734,29687	17236,32578
400	Den Helder	7	4858,716258	7694	0	1550,13316	773,4642469	11602,41326	0	0	2	6404,659194	57641,41768	2754,943909	0	0	0	9810,694847	5	8594,748909	1685,76321	1818,268506	66,03662184	6612,466975	47651,01016	58924,81286	62026,1188	50024,592	3005,88	52224,26883	4480,116529	50,18125773	56,70482123	292,038862	312,3868752	350	10000	0	0	0	5006,1	4510	901587739,4	888356121,6	5421573006	1	0	0	0	30901,93422	33065,06961
384	Diemen	7	4798,799354	763	0	475,3125118	132,0263745	7849,143863	324,8237365	0	1	1962,397193	32560,53526	230,2343483	0	0	0	5569,623737	1	518,2914058	0	0	22,01220728	10420,24905	5485,371744	25386,26002	4657,009897	97541,93635	1514,35	48075,40562	1595,090025	4,014500618	6,061895934	101,0515093	160,6232033	110	110	0	0	0	1833,65	1183	554257770,5	542496332,4	5667015964	1	0	0	0	16739,34736	26615,56231
1980	Dijk en Waard	7	10741,46689	1101	0	1053,020353	808,5154967	11244,42172	0	0	2	5394,067064	89730,2539	2235,135336	0	0	0	18541,18353	9	7918,007272	1282,426605	3339,566079	276,5283539	10260,7608	100848,0039	98080,0631	104676,652	81525,07709	6191,33	55979,08868	3892,435535	46,16675711	48,0134274	458,7738524	463,221155	538	0	0	0	0	6348,92	6164	1232745731	1201136866	11257391636	1	0	0	0	37977,67211	38357,44883
498	Drechterland	7	2925,034339	596	0	169,7780619	121,5109995	2510,043784	0	0	3	1329,274607	20446,77192	731,1153585	0	0	0	3933,161877	12	2383,960296	0	0	34,39407387	895,0229022	2101,210539	16547,033	2606,309227	15319,57269	2858,75	4553,926723	501,379166	54,19575835	68,28665552	123,2828414	150,3594816	67	2105	0	0	0	7357,5	5886	206192711,7	180464565,9	2709088775	1	0	0	0	8929,268084	10893,70706
385	Edam-Volendam	7	6078,842314	1933	950	279,1098488	203,2972492	4479,510096	0	0	2	1919,064457	37317,43075	1280,495516	0	0	0	6979,948979	11	5698,302712	163,7648727	1313,495458	33,01831092	2071,24878	14395,31259	34993,23706	14769,08562	120048,8554	7451,44	21350,76988	809,560147	28,10150433	37,93703084	184,9242621	251,4207726	299	2240	31	0	0	7426,96	5461	498758484,5	478543512,7	5465713933	1	0	0	0	16162,58129	21981,11056
388	Enkhuizen	7	2598,21486	2330	2330	303,2222973	216,1493741	3438,359936	0	0	1	1915,529152	19052,13898	748,3599855	0	0	0	3518,241566	1	2260,142901	0	1165,397682	33,01831092	1473,167825	9809,016508	19082,62841	11566,75994	33946,10455	1668,59	12805,52801	870,6267073	22,0797534	26,49570408	100,0409942	123,0131287	230	10000	0	0	54	1529,44	1264	276761340,3	267205171,9	2288537303	1	0	0	0	9127,247331	11226,51422
1942	Gooise Meren	7	12097,76772	6822	651	843,6053892	172,9194993	10602,29365	0	0	3	3253,692526	60211,71698	3101,672379	0	0	0	13557,09211	9	1737,04694	701,2338738	3154,250014	34,39407387	6024,878669	39357,28972	59338,99379	38569,33576	43837,01284	3180,64	53723,31718	218,433453	17,06162763	17,74409273	260,7128941	265,8465546	1280	2101	27	0	0	4264,2	4140	708626645,6	679223050,3	13401864594	1	0	0	0	28068,60877	28629,98094
392	Haarlem	7	27703,39786	30680	30680	3492,341339	683,4993722	35080,09292	0	0	1	13556,98485	166678,5894	3186,780842	0	0	0	32654,53134	2	10690,33579	5554,098218	8759,47945	140,3278214	29424,5337	227870,2218	185189,3827	208868,4092	117033,761	1885,74	289033,022	8049,761715	7,025376082	7,587406169	599,2354503	629,0065254	295	0	0	107	0	3088,84	2914	2971968390	2915366469	31692700677	1	0	0	0	79579,57655	83558,55538
