Naam 	Prov	Beschermd wonen	Participatie	armoedebestrijding kinderen	beeldende kunst en vormgeving	bodembescherming	BRP: Centralisering Inschrijving Vergunninghouders	extra capaciteit BOA's	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	LHBTI-beleid	maatschappelijke opvang	Nationaal Actieplan Dakloosheid	personen met verward gedrag	regionale doelgroepen specifieke aanpak	Regionale Energie Strategieën	Uitstapprogramma prostituees	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	voorschoolse voorziening peuters	vrouwenopvang	Wet kwaliteitsborging bouw
Ermelo	5	0	3699914	80645	0	0	0	33367	0	0	0	0	0	0	0	0	0	7062	0	0	53994	0	0	45026	0	17102
Harderwijk	5	0	5286289	200743	0	0	0	37405	61392	0	0	0	0	0	0	0	0	7062	0	0	175114	0	0	77340	0	23582
Hattem	5	0	805329	30126	0	0	0	30617	0	0	0	0	0	0	0	0	0	7062	0	0	43779	0	0	19272	0	8367
Heerde	5	0	2281940	54748	0	0	0	31835	0	0	0	0	0	0	0	0	0	7062	0	0	56912	0	0	31826	0	11880
Heumen	5	0	1242282	53010	0	0	0	31424	12204	0	0	0	0	0	0	0	0	7062	0	0	90476	0	0	25784	0	10705
Lingewaard	5	0	3809003	125138	0	0	0	37051	0	0	0	0	0	0	0	0	0	7062	0	0	160035	0	0	68478	0	21867
Lochem	5	0	2818105	92463	0	0	0	34657	15671	0	0	0	0	0	0	0	0	7062	0	0	123066	0	0	59446	0	24046
Maasdriel	5	0	1529280	70622	0	0	0	33076	0	0	0	0	0	0	0	0	0	7062	0	0	62749	0	0	44292	0	16198
Montferland	5	0	4635402	127687	0	0	0	35044	0	0	0	0	0	0	0	0	0	7062	0	0	22376	0	0	51717	0	21447
Neder-Betuwe	5	0	1228899	88640	0	0	0	32927	0	0	0	0	0	0	0	0	0	7062	0	0	119661	0	0	52979	0	14181
Nijkerk	5	0	2149314	130700	0	0	0	36452	0	0	0	0	0	0	0	330169	0	7062	0	0	142523	0	0	73037	0	22012
Nijmegen	5	60985904	23618142	1018312	150000	314536	0	61327	74752	0	20000	10431739	1490026	284028	136659	510387	178595	7062	30000	218680	410545	1603	400077	307712	5990794	87254
Nunspeet	5	0	3768748	84816	0	0	0	33554	29846	0	0	0	0	0	0	0	0	7062	0	0	74423	0	0	53912	0	15699
Oldebroek	5	0	2080997	73866	0	0	0	32762	0	0	0	0	0	0	0	256127	0	7062	0	0	32104	0	0	45436	0	14027
Oost Gelre	5	0	6273257	66016	0	0	0	33843	13325	0	0	0	0	0	0	0	0	7062	0	0	125985	0	0	45787	0	20735
Oude IJsselstreek	5	0	5085652	155264	0	0	0	35660	0	0	0	0	0	0	0	0	0	7062	0	0	130363	0	0	60201	0	24368
Overbetuwe	5	0	3721908	143388	0	0	0	37310	2448	0	0	0	0	0	0	0	0	7062	0	0	121121	0	0	79835	0	25063
Putten	5	0	2021458	72418	0	0	0	32874	0	0	0	0	0	0	0	0	0	7062	0	0	121121	0	0	40189	0	16755
