Naam 	Prov	Beschermd wonen	Participatie	armoedebestrijding kinderen	beeldende kunst en vormgeving	bodembescherming	BRP: Centralisering Inschrijving Vergunninghouders	extra capaciteit BOA's	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	LHBTI-beleid	maatschappelijke opvang	Nationaal Actieplan Dakloosheid	personen met verward gedrag	regionale doelgroepen specifieke aanpak	Regionale Energie Strategieën	Uitstapprogramma prostituees	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	voorschoolse voorziening peuters	vrouwenopvang	Wet kwaliteitsborging bouw
Zaanstad	7	12996828	9441765	997977	150000	366383	0	57523	374	0	20000	2548339	363994	183018	136659	0	113443	7062	30000	140910	301099	0	400077	256943	4431678	69488
Zandvoort	7	0	735422	96403	0	0	0	31536	0	0	0	0	0	0	0	0	0	7062	0	0	51075	0	0	25552	0	12103
Alblasserdam	8	0	1484119	75604	0	0	0	32088	0	5265	0	0	0	0	0	0	0	7062	0	0	85125	0	0	35757	0	11361
Albrandswaard	8	0	225804	89161	0	0	0	33144	0	17800	0	0	0	0	0	0	0	7062	0	0	10215	0	0	42452	0	12645
Alphen aan den Rijn	8	0	14164793	356644	0	0	0	49281	0	0	17000	0	0	0	0	423374	0	7062	0	0	194085	0	0	171193	0	51495
Barendrecht	8	0	153957	147617	0	0	0	37389	7173	11957	0	0	0	0	0	570000	0	7062	0	0	45238	0	0	73946	0	21043
Bodegraven-Reeuwijk	8	0	1212073	101501	0	0	0	34904	30968	0	0	0	0	0	0	0	0	7062	0	0	63236	0	0	68244	0	18176
Capelle aan den IJssel	8	0	6270914	445139	0	0	0	40863	3229	0	20000	0	0	0	0	0	0	7062	0	0	9242	4809	0	110090	0	32577
Delft	8	20835700	12305213	567033	150000	0	0	47607	31002	0	20000	2653716	379046	0	0	0	0	7062	0	0	86098	0	0	147088	3648618	64316
Dordrecht	8	44559383	20383478	715113	150000	311080	0	50496	272	0	20000	5427247	775205	254025	136659	274187	0	7062	30000	195580	359470	0	400077	206521	4279649	61132
Goeree-Overflakkee	8	0	5594017	155728	0	0	0	37751	0	308258	0	0	0	0	0	146634	0	7062	0	0	141064	0	0	92680	0	28262
Gorinchem	8	0	7496198	191270	0	0	0	35300	26073	11535	0	0	0	0	136659	159769	0	7062	0	0	98745	0	400077	60513	0	19957
Gouda	8	18166806	10098076	378485	0	0	0	42046	646	0	20000	2178246	311132	0	136659	0	0	7062	0	0	98258	0	400077	118218	2541312	36380
Hardinxveld-Giessendam	8	0	107770	48665	0	0	0	31767	0	11070	0	0	0	0	0	0	0	7062	0	0	165385	0	0	30499	0	9965
Hendrik-Ido-Ambacht	8	0	1205652	112972	0	0	0	34156	680	5691	0	0	0	0	0	0	0	7062	0	0	151766	0	0	53668	0	14668
Hillegom	8	0	1929746	73635	0	0	0	32471	0	0	0	0	0	0	0	0	0	7062	0	0	37455	0	0	30701	0	13039
Hoeksche Waard	8	0	5076879	219861	0	0	0	44718	70536	301177	0	0	0	0	0	153189	0	7062	0	0	151765	0	0	140265	0	38502
Kaag en Braassem	8	0	87243	96026	0	0	0	33465	0	0	0	0	0	0	0	0	0	7062	0	0	44751	0	0	51692	0	14656
Katwijk	8	0	6949729	214937	0	0	0	40616	128325	0	0	0	0	0	0	0	0	7062	0	0	113824	0	0	104596	0	30540
Krimpen aan den IJssel	8	0	2300524	135016	0	0	0	33813	12646	4416	0	0	0	0	0	0	0	7062	0	0	103123	0	0	46873	0	15218
Krimpenerwaard	8	0	3429633	197904	0	0	0	38873	8566	130897	0	0	0	0	0	0	0	7062	0	0	154198	0	0	103398	0	25978
Lansingerland	8	0	179895	215516	0	0	0	40127	6119	0	0	0	0	0	0	0	0	7062	0	0	68586	0	0	110671	0	29553
Leiden	8	36331218	20781899	612946	150000	324042	0	51421	15195	0	20000	8042702	1148786	383038	136659	0	0	7062	30000	294910	117229	0	400077	170987	6677560	76532
Leiderdorp	8	0	217993	85685	0	0	0	33434	0	0	0	0	0	0	0	0	0	7062	0	0	19457	0	0	39195	0	15811
Leidschendam-Voorburg	8	0	3046259	392100	0	0	0	42558	0	0	20000	0	0	0	0	0	0	7062	0	0	41346	0	0	124824	0	41271
Lisse	8	0	1780915	66914	0	0	0	32617	0	0	0	0	0	0	0	0	0	7062	0	0	26267	0	0	32273	0	13410
Maassluis	8	0	4513526	222700	0	0	0	34586	0	0	0	0	0	0	0	0	0	7062	0	0	22862	0	0	56379	0	17506
Midden-Delfland	8	0	84677	57934	0	0	0	31954	0	0	0	0	0	0	0	0	0	7062	0	0	38428	0	0	35079	0	12099
Molenlanden	8	0	1173951	105672	0	0	0	36550	0	178036	0	0	0	0	0	0	0	7062	0	0	204299	0	0	90020	0	21761
Nieuwkoop	8	0	120600	65698	0	0	0	33764	0	0	0	0	0	0	0	0	0	7062	0	0	35509	0	0	50616	0	15090
Nissewaard	8	15850075	9391343	558429	0	0	0	44233	0	76959	20000	2639974	377083	0	0	0	0	7062	0	0	85611	0	0	144484	3250714	40219
Noordwijk	8	0	2618016	111524	0	0	0	36537	782	0	0	0	0	0	0	0	0	7062	0	0	36482	0	0	61207	0	24104
Oegstgeest	8	0	806251	76473	0	0	0	33004	21994	0	0	0	0	0	0	0	0	7062	0	0	10215	0	0	40374	0	13305
Papendrecht	8	0	1924452	139593	0	0	0	34326	13529	2620	0	0	0	0	0	0	0	7062	0	0	177060	0	0	46731	0	16538
Pijnacker-Nootdorp	8	0	197579	165692	0	0	0	38697	2923	0	0	0	0	0	0	0	0	7062	0	0	31131	0	0	94077	0	23209
Ridderkerk	8	0	223238	250045	0	0	0	37023	0	20530	0	0	0	0	0	0	0	7062	0	0	28213	0	0	75006	0	23109
Rijswijk	8	0	2410619	405772	0	0	0	38613	0	0	0	0	0	0	0	0	0	7062	0	0	36969	0	0	96806	0	32967
Rotterdam	8	119138355	51732256	6306272	2111492	0	0	149530	38956	5126	50000	40912356	5843752	1005101	136659	0	603578	7062	50000	773850	2249243	30456	400077	1383518	18161672	395508
Schiedam	8	0	9730860	543685	0	298118	0	43087	0	0	20000	0	0	0	0	0	0	7062	0	0	138632	0	0	134193	0	44384
's-Gravenhage	8	83202100	41965661	4642628	1654253	0	0	130317	42628	0	50000	29810221	4257969	760076	136659	0	634685	7062	50000	585200	305963	4007	400077	1087063	16249953	354117
Sliedrecht	8	0	2502776	119750	0	0	0	33103	5201	12136	0	0	0	0	0	0	0	7062	0	0	148361	0	0	43025	0	13831
Teylingen	8	0	3183345	82470	0	0	0	35371	8022	0	0	0	0	0	0	0	0	7062	0	0	57885	0	0	54990	0	18589
Vlaardingen	8	14404160	9538221	570190	0	0	0	42091	0	0	20000	2271543	324458	0	0	0	0	7062	0	0	134741	0	0	129789	2969779	38995
Voorne aan Zee	8	0	305349	304445	0	0	0	98540	0	121965	0	0	0	0	0	0	0	7062	0	0	69559	0	0	109671	0	40524
Voorschoten	8	0	115468	90580	0	0	0	33113	408	0	0	0	0	0	0	0	0	7062	0	0	10215	0	0	37609	0	13727
Waddinxveen	8	0	2345801	107526	0	0	0	34011	3433	0	0	0	0	0	0	0	0	7062	0	0	32591	0	0	51082	0	17127
Wassenaar	8	0	1138430	115985	0	0	0	33355	15807	0	0	0	0	0	0	0	0	7062	0	0	57885	0	0	41440	0	14523
Westland	8	0	7419227	355254	150000	0	0	49057	0	0	20000	0	0	0	0	0	0	7062	0	0	151279	0	0	161777	0	50260
Zoetermeer	8	0	8408160	788371	150000	0	0	51640	10368	0	20000	0	0	0	136659	0	0	7062	0	0	89503	0	400077	205340	0	57799
Zoeterwoude	8	0	28226	20856	0	0	0	29988	0	0	0	0	0	0	0	0	0	7062	0	0	52048	0	0	15153	0	7801
Zuidplas	8	0	1990736	147385	0	0	0	36724	0	0	0	0	0	0	0	265721	0	7062	0	0	138146	0	0	81552	0	21062
Zwijndrecht	8	0	3594588	331790	0	0	0	36670	0	18958	0	0	0	0	0	0	0	7062	0	0	197490	0	0	74358	0	24111
Borsele	9	0	1820150	62569	0	0	0	32587	0	134038	0	0	0	0	0	0	0	7062	0	0	331744	0	0	48131	0	18103
Goes	9	0	6331806	157205	0	0	0	35521	816	86036	20000	0	0	0	136659	376059	0	7062	0	0	186302	0	400077	62165	0	21931
Hulst	9	0	4170158	83136	0	0	0	33471	714	183131	0	0	0	0	0	0	0	7062	0	0	156630	0	0	46365	0	18029
Kapelle	9	0	454534	39106	0	0	0	30739	0	34069	0	0	0	0	0	0	0	7062	0	0	81720	0	0	21513	0	9554
Middelburg	9	0	5705259	255491	150000	0	0	37449	21076	47544	20000	0	0	210021	0	0	0	7062	0	161700	176087	0	0	83432	0	26114
Noord-Beveland	9	0	559973	23898	0	0	0	29753	0	85816	0	0	0	0	0	0	0	7062	0	0	59831	0	0	18318	0	9358
Reimerswaal	9	0	1353269	79776	0	0	0	32601	0	98533	0	0	0	0	0	0	0	7062	0	0	106528	0	0	48972	0	13637
Schouwen-Duiveland	9	0	4434134	105151	0	0	0	34678	2550	245819	0	0	0	0	0	0	0	7062	0	0	133281	0	0	64233	0	23961
Sluis	9	0	2003688	67667	0	0	0	32651	578	260021	0	0	0	0	0	0	0	7062	0	0	76369	0	0	47020	0	21570
Terneuzen	9	0	9191829	233910	0	0	0	38472	2346	240001	0	0	0	0	0	0	0	7062	0	0	423192	0	0	96253	0	33386
Tholen	9	0	2292470	79660	0	0	0	33194	4045	150213	0	0	0	0	0	0	0	7062	0	0	35509	0	0	50672	0	15708
Veere	9	0	1271788	37281	0	0	0	32426	0	140748	0	0	0	0	0	0	0	7062	0	0	44751	0	0	39334	0	16995
Vlissingen	9	40254336	7795437	279128	0	0	0	36593	306	34892	0	6990649	998515	0	0	0	0	7062	0	0	308395	0	0	78661	4315980	28428
Alphen-Chaam	10	0	487838	22421	0	0	0	30272	0	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	21230	0	11181
Altena	10	0	3431005	157929	0	0	0	38823	0	0	0	0	0	0	0	0	0	7062	0	0	432434	0	0	101467	0	25871
Asten	10	0	1603833	39975	0	0	0	31471	0	0	0	0	0	0	0	0	0	7062	0	0	32591	0	0	23291	0	13912
Baarle-Nassau	10	0	25660	21030	0	0	0	29626	0	0	0	0	0	0	0	0	0	7062	0	0	29186	0	0	12907	0	10304
Bergeijk	10	0	2176595	39859	0	0	0	31831	0	0	0	0	0	0	0	0	0	7062	0	0	16052	0	0	30794	0	14202
Bergen op Zoom	10	10361001	11570013	399921	0	0	0	40899	0	0	0	3051283	435833	0	0	0	0	7062	0	0	130849	0	0	115633	0	36399
Bernheze	10	0	4747328	76908	0	0	0	34193	0	0	0	0	0	0	0	0	0	7062	0	0	57398	0	0	48019	0	20443
Best	10	0	3514600	89219	0	0	0	33962	0	0	0	0	0	0	0	0	0	7062	0	0	27240	0	0	42545	0	17469
Bladel	10	0	5392975	43943	0	0	0	32161	0	0	0	0	0	0	0	0	0	7062	0	0	81720	0	0	31928	0	15866
Boekel	10	0	1313783	24332	0	0	0	30381	0	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	19993	0	10710
Boxtel	10	0	8749206	124762	0	0	0	34475	10504	0	0	0	0	0	0	0	0	7062	0	0	41833	0	0	48428	0	18320
Breda	10	36581335	23912875	841207	150000	381937	0	62586	28045	0	20000	6204361	886205	0	136659	490082	0	7062	25000	0	319097	0	400077	287612	7968729	91152
Cranendonck	10	0	2149891	57123	0	0	785055	32249	71828	0	0	0	0	0	0	574671	0	7062	0	0	100204	0	0	34051	0	14078
Deurne	10	0	4101327	99126	0	0	0	34376	0	0	0	0	0	0	0	0	0	7062	0	0	65668	0	0	47296	0	23908
Dongen	10	0	1517969	78965	0	0	0	33247	0	0	0	0	0	0	0	0	0	7062	0	0	40860	0	0	37424	0	15559
Drimmelen	10	0	1431847	61266	0	0	0	33425	0	0	0	0	0	0	0	0	0	7062	0	0	76369	0	0	37436	0	15609
Eersel	10	0	2647984	39540	0	0	0	31975	0	0	0	0	0	0	0	0	0	7062	0	0	94853	0	0	33382	0	14416
Eindhoven	10	51883553	35940464	1309896	550226	329226	0	72176	22878	0	20000	11610051	1658332	415042	136659	0	0	7062	30000	319550	304017	3206	400077	366659	7392203	129130
Etten-Leur	10	0	6031647	172355	0	0	0	36502	680	0	0	0	0	0	0	0	0	7062	0	0	98258	0	0	68991	0	25264
Geertruidenberg	10	0	2155401	98488	0	0	0	32392	0	0	0	0	0	0	0	0	0	7062	0	0	176573	0	0	31117	0	13917
Geldrop-Mierlo	10	0	1901005	156481	0	0	0	35794	1666	0	0	0	0	0	0	0	0	7062	0	0	90962	0	0	57088	0	20122
Gemert-Bakel	10	0	4580309	105846	0	0	0	34064	0	0	0	0	0	0	0	0	0	7062	0	0	110419	0	0	52593	0	22018
Gilze en Rijen	10	0	1955802	107555	0	0	636291	33313	118365	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	43327	0	16615
Goirle	10	0	2469152	62627	0	0	0	32798	5099	0	0	0	0	0	0	0	0	7062	0	0	58371	0	0	36507	0	13759
Halderberge	10	0	5522423	140346	0	0	0	34002	0	0	0	0	0	0	0	0	0	7062	0	0	159548	0	0	48746	0	19610
Heeze-Leende	10	0	1161257	32849	0	0	0	31364	0	0	0	0	0	0	0	0	0	7062	0	0	40860	0	0	23040	0	12090
Helmond	10	20276493	17601362	586296	0	288613	0	45569	20226	0	20000	3042290	434548	0	136659	0	0	7062	0	0	176573	2404	400077	152339	2287609	45260
Heusden	10	0	3732589	123516	0	0	0	36713	0	0	0	0	0	0	0	0	0	7062	0	0	81720	0	0	61900	0	22671
Hilvarenbeek	10	0	1436334	34065	0	0	0	31262	0	0	0	0	0	0	0	0	0	7062	0	0	109933	0	0	27091	0	13527
Laarbeek	10	0	2444868	65321	0	0	0	32584	0	0	0	0	0	0	0	0	0	7062	0	0	79288	0	0	35276	0	15188
Land van Cuijk	10	0	15682127	283878	0	0	0	45117	79001	0	0	0	0	0	0	406434	0	7062	0	0	602198	0	0	141061	0	54749
Loon op Zand	10	0	3056939	68884	0	0	0	32714	0	0	0	0	0	0	0	0	0	7062	0	0	51561	0	0	33766	0	13969
Maashorst	10	0	9894530	210881	0	0	0	39150	0	0	0	0	0	0	0	0	0	7062	0	0	325907	0	0	89667	0	34608
Meierijstad	10	0	15805748	237386	0	0	0	43527	22198	0	0	0	0	0	0	0	0	7062	0	0	267049	0	0	121762	0	48587
Moerdijk	10	0	2791426	128035	0	0	0	35259	0	0	0	0	0	0	0	0	0	7062	0	0	719913	0	0	66440	0	30234
Nuenen, Gerwen en Nederwetten	10	0	1590070	75981	0	0	0	32751	0	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	34465	0	13720
Oirschot	10	0	2605625	42060	0	0	0	31847	32396	0	0	0	0	0	0	0	0	7062	0	0	58371	0	0	29862	0	14848
Oisterwijk	10	0	4302587	68507	0	0	0	34364	75771	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	44369	0	19305
Oosterhout	10	0	6567111	266498	0	0	0	38796	27569	0	0	0	0	0	0	0	0	7062	0	0	309855	0	0	84588	0	32382
Oss	10	20167182	19034862	403803	0	0	0	45551	42934	0	20000	3183745	454753	0	0	0	0	7062	0	0	334662	0	0	149738	0	48642
Reusel-De Mierden	10	0	2778291	36904	0	0	0	30784	0	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	24660	0	12420
Roosendaal	10	0	15032056	425007	0	0	0	42700	0	0	20000	0	0	0	0	0	0	7062	0	0	147388	0	0	122384	0	41771
Rucphen	10	0	6455718	87191	0	0	0	32635	2244	0	0	0	0	0	0	0	0	7062	0	0	46697	0	0	33953	0	14258
's-Hertogenbosch	10	33877409	23847910	680092	150000	273923	0	57260	56429	0	17000	5177801	739576	326033	136659	0	869439	7062	0	251020	302558	0	989664	237372	6988799	75672
Sint-Michielsgestel	10	0	4250473	62164	0	0	0	33829	0	0	0	0	0	0	0	0	0	7062	0	0	15566	0	0	45428	0	15607
Someren	10	0	1746510	62048	0	0	0	31956	2346	0	0	0	0	0	0	0	0	7062	0	0	18971	0	0	30149	0	16214
Son en Breugel	10	0	786540	49679	0	0	0	31607	0	0	0	0	0	0	0	0	0	7062	0	0	38914	0	0	26576	0	11597
Steenbergen	10	0	2766056	81340	0	0	0	32864	0	0	0	0	0	0	0	0	0	7062	0	0	39887	0	0	37860	0	15980
Tilburg	10	67135902	29971351	1354216	150000	501611	0	69620	49698	0	20000	8885938	1269231	599060	136659	347526	523603	7062	30000	461230	368712	4007	400077	363786	6216687	124638
Valkenswaard	10	0	3771007	107179	0	0	0	34149	0	0	0	0	0	0	0	0	0	7062	0	0	18971	0	0	42213	0	18776
Veldhoven	10	0	4206137	140143	0	0	0	36805	7275	0	0	0	0	0	0	0	0	7062	0	0	103609	0	0	61314	0	23924
Vught	10	0	4828021	74156	0	0	0	34233	0	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	48514	0	16842
Waalre	10	0	1292304	49679	0	0	0	31606	0	0	0	0	0	0	0	0	0	7062	0	0	16052	0	0	25618	0	10186
Waalwijk	10	0	5770899	183971	0	0	0	37421	0	0	0	0	0	0	0	0	0	7062	0	0	395466	0	0	69027	0	28299
Woensdrecht	10	0	2424847	68826	0	0	0	32440	8430	0	0	0	0	0	0	0	0	7062	0	0	62749	0	0	31717	0	14535
Zundert	10	0	2043066	76821	0	0	0	32432	0	0	0	0	0	0	0	0	0	7062	0	0	42319	0	0	30825	0	16731
Beek	11	0	1241736	62627	0	0	0	31295	0	0	0	0	0	0	0	0	0	7062	0	0	51561	0	0	21829	0	10855
Beekdaelen	11	0	4921518	117896	0	0	0	35050	34911	0	0	0	0	0	0	0	0	7062	0	0	43292	0	0	52444	0	17769
Beesel	11	0	1618157	65640	0	0	0	30844	0	0	0	0	0	0	0	0	0	7062	0	0	20430	0	0	19489	0	9413
Bergen (L.)	11	0	2469289	36499	0	0	0	30781	6731	0	0	0	0	0	0	0	0	7062	0	0	12161	0	0	25284	0	10500
Brunssum	11	0	9804744	155583	0	0	0	33489	0	0	0	0	0	0	0	0	0	7062	0	0	81233	0	0	39109	0	17066
Echt-Susteren	11	0	3344245	107932	0	0	0	34248	21382	0	0	0	0	0	0	0	0	7062	0	0	161008	0	0	45729	0	19278
Eijsden-Margraten	11	0	1596710	47332	0	0	0	33160	32396	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	50007	0	14358
Gennep	11	0	5111328	52923	0	0	0	31511	0	0	0	0	0	0	0	0	0	7062	0	0	28213	0	0	26594	0	13638
Gulpen-Wittem	11	0	1876103	34123	0	0	0	30985	0	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	32500	0	10039
Heerlen	11	34220462	28251660	799320	150000	317129	0	44511	43478	0	20000	5846853	835140	0	136659	454883	0	7062	0	0	207705	0	400077	157765	3116438	46726
Horst aan de Maas	11	0	4017419	87597	0	0	0	36245	12884	0	0	0	0	0	0	0	0	7062	0	0	162953	0	0	67682	0	29932
Kerkrade	11	0	18365647	330313	0	0	0	36794	0	0	0	0	0	0	0	0	0	7062	0	0	152252	0	0	69825	0	26575
Landgraaf	11	0	10096067	224641	0	0	0	35273	4793	0	0	0	0	0	0	0	0	7062	0	0	75396	0	0	55612	0	19623
Leudal	11	0	3149583	76647	0	0	0	35047	35897	0	0	0	0	0	0	0	0	7062	0	0	104582	0	0	54601	0	24372
Maasgouw	11	0	2301881	51620	0	0	0	32797	0	0	0	0	0	0	0	0	0	7062	0	0	523396	0	0	34029	0	14049
Maastricht	11	24800888	19335149	629631	324169	358855	0	50702	61936	0	20000	6057283	865197	337034	0	0	0	7062	30000	259490	368226	0	0	159802	4137230	69873
Meerssen	11	0	1976414	43683	0	0	0	31814	0	0	0	0	0	0	0	0	0	7062	0	0	29672	0	0	27449	0	10816
Mook en Middelaar	11	0	629362	12861	0	0	0	29814	0	0	0	0	0	0	0	0	0	7062	0	0	41833	0	0	12488	0	6678
Nederweert	11	0	2660615	34876	0	0	0	31536	0	0	0	0	0	0	0	0	0	7062	0	0	86584	0	0	27612	0	15754
Peel en Maas	11	0	6321606	122184	0	0	0	36463	0	0	0	0	0	0	0	0	0	7062	0	0	147874	0	0	70046	0	28804
Roerdalen	11	0	2849426	72997	0	0	0	32170	0	0	0	0	0	0	0	0	0	7062	0	0	84638	0	0	33444	0	12765
Roermond	11	0	11170735	359657	0	0	0	39272	7513	0	20000	0	0	0	136659	0	0	7062	0	0	239323	0	400077	99806	0	32915
Simpelveld	11	0	2185226	40786	0	0	0	30291	0	0	0	0	0	0	0	0	0	7062	0	0	13620	0	0	14351	0	7867
Sittard-Geleen	11	0	13770905	485432	150000	0	0	45405	10368	0	20000	0	0	0	0	0	0	7062	0	0	213055	0	0	134586	0	51804
Stein	11	0	2619674	79254	0	0	0	32969	1904	0	0	0	0	0	0	0	0	7062	0	0	149333	0	0	29601	0	13212
Vaals	11	0	1585616	38874	0	0	0	30218	0	0	0	0	0	0	0	0	0	7062	0	0	29186	0	0	18172	0	8816
Valkenburg aan de Geul	11	0	1522113	48057	0	0	0	31387	0	0	0	0	0	0	0	0	0	7062	0	0	31618	0	0	23989	0	10991
Venlo	11	52289553	14489733	587454	150000	357742	0	47310	2957	0	20000	8199426	1171172	278028	136659	428487	0	7062	0	214060	347796	0	400077	165735	5218782	61462
Venray	11	0	10362447	184666	0	0	0	36473	306	0	0	0	0	0	0	0	0	7062	0	0	379900	0	0	72676	0	33844
Voerendaal	11	0	939123	45189	0	0	0	30661	0	0	0	0	0	0	0	0	0	7062	0	0	16052	0	0	19741	0	8498
Weert	11	0	7947763	206478	0	0	0	37644	0	0	0	0	0	0	0	0	0	7062	0	0	229108	0	0	72831	0	30235
Almere	12	50042872	10107601	1361689	150000	0	0	68275	45959	0	20000	8580906	1225661	267027	136659	0	138766	7062	30000	205590	206245	0	400077	396728	5978511	80167
Dronten	12	0	1935278	164244	0	0	0	36156	132234	0	0	0	0	0	0	0	0	7062	0	0	124039	0	0	72716	0	25404
Lelystad	12	0	6986936	585485	150000	0	0	43186	0	0	20000	0	0	0	0	0	0	7062	0	0	322502	0	0	148526	0	37874
Noordoostpolder	12	0	5818289	234634	0	0	0	37192	100009	0	0	0	0	0	0	0	0	7062	0	0	385737	0	0	91528	0	34112
Urk	12	0	1769083	53184	0	0	0	32291	0	0	0	0	0	0	0	0	0	7062	0	0	46211	0	0	44916	0	9682
Zeewolde	12	0	471929	87133	0	0	0	32598	25971	0	0	0	0	0	0	0	0	7062	0	0	93881	0	0	39899	0	17155
