CBS	Naam 	Prov	Beschermd wonen	Participatie	Voogdij/18+	CBS	aanpak laaggeletterdheid	armoedebestrijding kinderen	beeldende kunst en vormgeving	begeleiding jongeren naar werk	BRP: Centralisering Inschrijving Vergunninghouders	experiment gesloten coffeeshopketen	extra capaciteit BOA's	jeugd	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	LHBTI-beleid	maatschappelijke opvang	personen met verward gedrag	Regionale Energie Strategieën	slavernijverleden	Uitstapprogramma prostituees	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	versterking omgevingsveiligheidsdiensten	voorschoolse voorziening peuters	vrouwenopvang	Wet kwaliteitsborging bouw
153	Enschede	4	36361729	25540456	0	153	227505	1176902	404571	567020	0	0	58049	793023	16036	0	20000	9038842	360036	0	0	216359	7062	30000	277200	330285	6411,88	400077	28000	289802	7294462	83184
158	Haaksbergen	4	0	2274806	0	158	0	71963	0	0	0	0	32849	0	0	0	0	0	0	0	0	0	7062	0	0	40860	0	0	4000	36918	0	17055
160	Hardenberg	4	0	8949603	0	160	0	197327	0	0	0	0	39754	0	68755	0	0	0	0	0	0	0	7062	0	0	261698	0	0	17000	113977	0	37111
163	Hellendoorn	4	0	3675810	0	163	0	106446	0	0	0	0	35025	0	0	0	0	0	0	0	0	0	7062	0	0	148847	0	0	6000	56761	0	21063
164	Hengelo	4	0	13076290	0	164	0	424748	0	0	0	0	43416	74792	38106	0	20000	0	0	0	0	0	7062	0	0	231540	0	0	19000	130202	0	42144
1735	Hof van Twente	4	0	2664225	0	1735	0	108190	0	0	0	0	34860	0	0	0	0	0	0	0	0	0	7062	0	0	133768	0	0	7000	52413	0	25723
166	Kampen	4	0	5627289	0	166	0	216326	0	0	0	0	38474	0	8535	0	0	0	0	0	0	0	7062	0	0	251483	0	0	13000	98711	0	28234
168	Losser	4	0	2982338	0	168	0	94997	0	0	0	0	32600	0	0	0	0	0	0	0	0	0	7062	0	0	84638	0	0	3000	36476	0	14410
173	Oldenzaal	4	0	6448748	0	173	0	135204	0	0	0	0	34239	0	0	0	0	0	0	0	0	0	7062	0	0	71505	0	0	5000	47741	0	17719
1773	Olst-Wijhe	4	0	2063795	0	1773	0	58389	0	0	0	0	31758	0	2888	0	0	0	0	0	0	0	7062	0	0	25294	0	0	5000	31334	0	13348
175	Ommen	4	0	2752619	0	175	0	66784	0	0	0	0	31745	0	1810	0	0	0	0	0	0	0	7062	0	0	15566	0	0	8000	38022	0	15457
177	Raalte	4	0	4187111	0	177	0	113833	0	0	0	0	35394	0	0	0	0	0	0	0	0	0	7062	0	0	125985	0	0	9000	62452	0	24341
1742	Rijssen-Holten	4	0	2883692	0	1742	0	110398	0	0	0	0	35448	0	0	0	0	0	0	0	0	0	7062	0	0	50102	0	0	9000	67018	0	20196
