CBS	Naam 	Prov	Beschermd wonen	Participatie	Voogdij/18+	CBS	aanpak laaggeletterdheid	armoedebestrijding kinderen	beeldende kunst en vormgeving	begeleiding jongeren naar werk	BRP: Centralisering Inschrijving Vergunninghouders	experiment gesloten coffeeshopketen	extra capaciteit BOA's	jeugd	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	LHBTI-beleid	maatschappelijke opvang	personen met verward gedrag	Regionale Energie Strategieën	slavernijverleden	Uitstapprogramma prostituees	veilig wonen	veilige steden	veiligheidshuizen	vergunningverlening, toezicht en handhaving	verkeersveiligheid	versterking arbeidsmarktregio's	versterking omgevingsveiligheidsdiensten	voorschoolse voorziening peuters	vrouwenopvang	Wet kwaliteitsborging bouw
865	Vught	10	0	4546807	0	865	0	78660	0	0	0	0	34233	0	862	0	0	0	0	0	0	0	7062	0	0	0	0	0	8016	47601	0	16842
866	Waalre	10	0	1182095	0	866	0	49611	0	0	0	0	31606	0	0	0	0	0	0	0	0	0	7062	0	0	16052	0	0	2000	25662	0	10186
867	Waalwijk	10	0	5533582	0	867	0	189722	0	0	0	0	37421	0	0	0	0	0	0	0	0	0	7062	0	0	395466	0	0	17000	68271	0	28299
873	Woensdrecht	10	0	2232635	0	873	0	67657	0	0	0	0	32440	0	0	0	0	0	0	0	0	0	7062	0	0	62749	0	0	6000	32029	0	14535
879	Zundert	10	0	1902356	0	879	0	70437	0	0	0	0	32432	0	0	0	0	0	0	0	0	0	7062	0	0	42319	0	0	3000	30476	0	16731
888	Beek	11	0	1115992	0	888	0	58934	0	0	0	0	31295	0	0	0	0	0	0	0	0	0	7062	0	0	51561	0	0	3000	21452	0	10855
1954	Beekdaelen	11	0	5053106	0	1954	0	115441	0	0	0	0	35050	0	76471	0	0	0	0	0	0	0	7062	0	0	43292	0	0	8000	52698	0	17769
889	Beesel	11	0	1476034	0	889	0	58934	0	0	0	0	30844	0	0	0	0	0	0	0	0	0	7062	0	0	20430	0	0	4000	19635	0	9413
893	Bergen (L.)	11	0	2403206	0	893	0	41215	0	0	0	0	30781	0	0	0	0	0	0	0	0	0	7062	0	0	12161	0	0	4000	24931	0	10500
899	Brunssum	11	0	9557139	0	899	0	148833	0	0	0	0	33489	0	0	0	0	0	0	0	0	0	7062	0	0	81233	0	0	3000	39733	0	17066
1711	Echt-Susteren	11	0	3394697	0	1711	0	107618	0	0	0	0	34248	0	29528	0	0	0	0	0	0	0	7062	0	0	161008	0	0	11000	46132	0	19278
1903	Eijsden-Margraten	11	0	1555281	0	1903	0	50402	0	0	0	0	33160	0	23967	0	0	0	0	0	0	0	7062	0	0	0	0	0	7000	49494	0	14358
907	Gennep	11	0	4900490	0	907	0	59697	0	0	0	0	31511	0	0	0	0	0	0	0	0	0	7062	0	0	28213	0	0	3000	26370	0	13638
1729	Gulpen-Wittem	11	0	1876382	0	1729	0	36254	0	0	0	0	30985	0	0	0	0	0	0	0	0	0	7062	0	0	0	0	0	1000	32334	0	10039
917	Heerlen	11	32347652	27896075	0	917	224564	769354	150000	444233	0	83750	44511	277192	43840	0	20000	5846853	0	454883	0	0	7062	0	0	207705	0	400077	19000	157434	3134930	46726
1507	Horst aan de Maas	11	0	3995907	0	1507	0	90772	0	0	0	0	36245	0	6983	0	0	0	0	0	0	0	7062	0	0	162953	0	0	10000	66885	0	29932
928	Kerkrade	11	0	18171601	0	928	0	321137	0	0	0	0	36794	0	0	0	0	0	0	0	0	0	7062	0	0	152252	0	0	6000	69729	0	26575
882	Landgraaf	11	0	10003593	0	882	0	220388	0	0	0	0	35273	0	0	0	0	0	0	0	0	0	7062	0	0	75396	0	0	6000	55703	0	19623
1640	Leudal	11	0	3079542	0	1640	0	90063	0	0	0	0	35047	0	45521	0	0	0	0	0	0	0	7062	0	0	104582	0	0	8000	54139	0	24372
1641	Maasgouw	11	0	2455371	0	1641	0	52828	0	0	0	0	32797	0	0	0	0	0	0	0	0	0	7062	0	0	523396	0	0	5000	33902	0	14049
935	Maastricht	11	23443591	18553951	0	935	0	616868	324169	0	0	207500	50702	230543	87722	0	0	6057283	337034	0	0	0	7062	0	259490	368226	0	0	32000	160060	4123898	69873
938	Meerssen	11	0	1819861	0	938	0	41706	0	0	0	0	31814	0	0	0	0	0	0	0	0	0	7062	0	0	29672	0	0	5000	27701	0	10816
944	Mook en Middelaar	11	0	563621	0	944	0	19844	0	0	0	0	29814	0	0	0	0	0	0	0	0	0	7062	0	0	41833	0	0	2000	12701	0	6678
946	Nederweert	11	0	2518442	0	946	0	42742	0	0	0	0	31536	0	0	0	0	0	0	0	0	0	7062	0	0	86584	0	0	5000	27674	0	15754
1894	Peel en Maas	11	0	5990536	0	1894	0	120621	0	0	0	0	36463	0	0	0	0	0	0	0	0	0	7062	0	0	147874	0	0	9000	68856	0	28804
1669	Roerdalen	11	0	2808446	0	1669	0	65067	0	0	0	0	32170	0	0	0	0	0	0	0	0	0	7062	0	0	84638	0	0	4000	33171	0	12765
957	Roermond	11	0	10919006	0	957	142145	357963	0	222492	0	0	39272	0	0	0	20000	0	0	0	0	0	7062	0	0	239323	0	400077	20000	99913	0	32915
965	Simpelveld	11	0	2148210	0	965	0	39689	0	0	0	0	30291	0	0	0	0	0	0	0	0	0	7062	0	0	13620	0	0	2000	14556	0	7867
1883	Sittard-Geleen	11	0	13395913	0	1883	0	478393	150000	0	0	0	45405	176185	0	0	20000	0	0	0	0	0	7062	0	0	213055	0	0	40000	135997	0	51804
971	Stein	11	0	2605533	0	971	0	60842	0	0	0	0	32969	0	0	0	0	0	0	0	0	0	7062	0	0	149333	0	0	7000	29909	0	13212
981	Vaals	11	0	1522534	0	981	0	43778	0	0	0	0	30218	0	0	0	0	0	0	0	0	0	7062	0	0	29186	0	0	1000	18407	0	8816
994	Valkenburg aan de Geul	11	0	1504782	0	994	0	47512	0	0	0	0	31387	0	0	0	0	0	0	0	0	0	7062	0	0	31618	0	0	3000	24029	0	10991
983	Venlo	11	49437713	14216848	0	983	150637	587320	150000	276748	0	0	47310	424462	0	0	20000	8199426	278028	428487	0	0	7062	0	214060	347796	0	400077	40000	167585	5224493	61462
984	Venray	11	0	9964446	0	984	0	178409	0	0	0	0	36473	0	819	0	0	0	0	0	0	0	7062	0	0	379900	0	0	11000	71792	0	33844
986	Voerendaal	11	0	1074528	0	986	0	43069	0	0	0	0	30661	0	0	0	0	0	0	0	0	0	7062	0	0	16052	0	0	2000	19843	0	8498
988	Weert	11	0	7834878	0	988	0	201170	0	0	0	0	37644	0	0	0	0	0	0	0	0	0	7062	0	0	229108	0	0	14000	72663	0	30235
34	Almere	12	47363243	9711215	0	34	209102	1355311	150000	465504	0	83750	68275	457617	77721	0	0	8580906	267027	0	0	138766	7062	30000	205590	206245	0	0	26000	391906	5969966	80167
303	Dronten	12	0	1755026	0	303	0	174430	0	0	0	0	36156	0	146261	0	0	0	0	0	0	0	7062	0	0	124039	0	0	11000	72764	0	25404
995	Lelystad	12	0	6862981	0	995	0	569656	150000	0	0	0	43186	463015	0	0	20000	0	0	0	0	0	7062	0	0	322502	0	400077	15000	145902	0	37874
171	Noordoostpolder	12	0	5548965	0	171	0	258578	0	0	0	0	37192	0	138976	0	0	0	0	0	0	0	7062	0	0	385737	0	0	12000	92165	0	34112
184	Urk	12	0	1691913	0	184	0	51901	0	0	0	0	32291	0	0	0	0	0	0	0	0	0	7062	0	0	46211	0	0	4000	44504	0	9682
50	Zeewolde	12	0	438627	0	50	0	94207	0	0	0	0	32598	0	0	0	0	0	0	0	0	0	7062	0	0	93881	0	0	3000	40300	0	17155
