CBS	Naam	Prov	Beschermd wonen	Participatie	Voogdij/18+	aanpak laaggeletterdheid	armoedebestrijding kinderen	beeldende kunst en vormgeving	BRP: Centralisering Inschrijving Vergunninghouders	experiment gesloten coffeeshopketen	extra capaciteit BOA's	jeugd	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	maatschappelijke opvang	personen met verward gedrag	slavernijverleden	Uitstapprogramma prostituees	veiligheidshuizen	vergunningverlening, toezicht en handhaving	versterking arbeidsmarktregio's	versterking omgevingsveiligheidsdiensten	voorschoolse voorziening peuters	vrouwenopvang	Wet kwaliteitsborging bouw
482	Alblasserdam	8	0	1416712	0	0	78996	0	0	0	32088	0	0	5147	0	0	0	0	0	85125	0	5000	35672	0	11361
613	Albrandswaard	8	0	159957	0	0	76543	0	0	0	33144	0	0	17400	0	0	0	0	0	10215	0	6000	40054	0	12645
484	Alphen aan den Rijn	8	0	13228886	0	0	380316	0	0	0	49281	0	2155	0	0	0	0	0	0	194085	0	22000	171602	0	51495
489	Barendrecht	8	0	109061	0	0	150251	0	0	0	37389	0	5000	11688	0	0	0	0	0	45238	0	14000	75273	0	21043
1901	Bodegraven-Reeuwijk	8	0	1169075	0	0	103475	0	0	0	34904	0	34011	0	0	0	0	0	0	63236	0	10000	67743	0	18176
502	Capelle aan den IJssel	8	0	5859203	0	0	462256	0	0	0	40863	0	0	0	0	0	0	0	0	9242	0	9000	111524	0	32577
503	Delft	8	19746898	11449332	0	0	569111	150000	0	0	47607	0	9182	0	2534227	0	0	0	0	86098	0	13000	148053	3479214	64316
505	Dordrecht	8	42230863	19390028	0	168521	729175	150000	0	0	50496	525469	0	0	5334702	254025	0	0	195580	359470	398593	41000	205562	4362497	61132
1924	Goeree-Overflakkee	8	0	5268519	0	0	162245	0	0	0	37751	0	0	301329	0	0	0	0	0	141064	0	7000	92445	0	28262
512	Gorinchem	8	0	7116847	0	133338	193538	0	0	0	35300	0	55349	11276	0	0	0	0	0	98745	398593	11000	59955	0	19957
513	Gouda	8	17217471	9848145	0	149654	387076	0	0	0	42046	0	0	0	2156575	0	0	0	0	98258	398593	10000	117263	2566285	36380
523	Hardinxveld-Giessendam	8	0	76343	0	0	49230	0	0	0	31767	0	0	10821	0	0	0	0	0	165385	0	5000	30270	0	9965
531	Hendrik-Ido-Ambacht	8	0	1070498	0	0	112443	0	0	0	34156	0	0	5563	0	0	0	0	0	151766	0	9000	53116	0	14668
534	Hillegom	8	0	1815234	0	0	65939	0	0	0	32471	0	0	0	0	0	0	0	0	37455	0	3000	30878	0	13039
1963	Hoeksche Waard	8	0	4719143	0	0	230774	0	0	0	44718	0	83455	294404	0	0	0	0	0	151765	0	16000	139534	0	38502
1884	Kaag en Braassem	8	0	61801	0	0	83412	0	0	0	33465	0	0	0	0	0	0	0	0	44751	0	3000	51248	0	14656
537	Katwijk	8	0	6542640	0	0	212892	0	0	0	40616	0	159538	0	0	0	0	0	0	113824	0	9000	105223	0	30540
542	Krimpen aan den IJssel	8	0	2093833	0	0	127572	0	0	0	33813	0	0	4317	0	0	0	0	0	103123	0	3000	46790	0	15218
1931	Krimpenerwaard	8	0	3217121	0	0	183180	0	0	0	38873	0	0	127954	0	0	0	0	0	154198	0	9000	103257	0	25978
1621	Lansingerland	8	0	134183	0	0	219706	0	0	0	40127	0	6337	0	0	0	0	0	0	68586	0	7000	110993	0	29553
546	Leiden	8	34432673	19775855	0	194542	594461	150000	0	0	51421	213580	0	0	7799474	383038	0	0	294910	117229	398593	12000	171907	6484640	76532
547	Leiderdorp	8	0	138144	0	0	80632	0	0	0	33434	0	0	0	0	0	0	0	0	19457	0	5000	39194	0	15811
1916	Leidschendam-Voorburg	8	0	2824991	0	0	376663	0	0	0	42558	0	0	0	0	0	0	0	0	41346	0	11000	124873	0	41271
553	Lisse	8	0	1661214	0	0	67984	0	0	0	32617	0	0	0	0	0	0	0	0	26267	0	1000	32335	0	13410
556	Maassluis	8	0	4220824	0	0	222814	0	0	0	34586	0	0	0	0	0	0	0	0	22862	0	5000	54766	0	17506
1842	Midden-Delfland	8	0	59984	0	0	53427	0	0	0	31954	0	0	0	0	0	0	0	0	38428	0	5000	37078	0	12099
1978	Molenlanden	8	0	1193777	0	0	105764	0	0	0	36550	0	0	174034	0	0	0	0	0	204299	0	12000	90872	0	21761
569	Nieuwkoop	8	0	85431	0	0	73599	0	0	0	33764	0	0	0	0	0	0	0	0	35509	0	2000	49574	0	15090
1930	Nissewaard	8	15021804	9117078	0	0	542779	0	0	0	44233	0	0	75229	2555451	0	0	0	0	85611	0	24000	145323	3208893	40219
575	Noordwijk	8	0	2508477	0	0	124300	0	0	0	36537	0	0	0	0	0	0	0	0	36482	0	4000	61385	0	24104
579	Oegstgeest	8	0	757916	0	0	66239	0	0	0	33004	0	24010	0	0	0	0	0	0	10215	0	4000	40128	0	13305
590	Papendrecht	8	0	1823364	0	0	126372	0	0	0	34326	0	0	2561	0	0	0	0	0	177060	0	9000	47312	0	16538
1926	Pijnacker-Nootdorp	8	0	139962	0	0	178546	0	0	0	38697	0	0	0	0	0	0	0	0	31131	0	5000	94758	0	23209
597	Ridderkerk	8	0	158139	0	0	227421	0	0	0	37023	0	0	20068	0	0	0	0	0	28213	0	13000	74019	0	23109
603	Rijswijk	8	0	2209269	0	0	380507	0	0	0	38613	0	35003	0	0	0	0	0	0	36969	0	11000	94857	0	32967
599	Rotterdam	8	112912593	49551429	0	507338	6291647	2111492	0	0	149530	4407313	4009	5011	43107446	1005101	0	603578	773850	2249243	398593	317000	1377067	18981177	395508
606	Schiedam	8	0	9615465	0	0	560170	0	0	0	43087	316901	129	0	0	0	0	0	0	138632	0	11000	134412	0	44384
518	's-Gravenhage	8	78854243	40039741	0	355374	4564334	1654253	0	0	130317	2139274	22588	0	31279430	760076	0	634685	585200	305963	398593	62000	1090257	16763072	354117
610	Sliedrecht	8	0	2366928	0	0	122801	0	0	0	33103	0	0	11863	0	0	0	0	0	148361	0	8000	42233	0	13831
1525	Teylingen	8	0	2710046	0	0	82703	0	0	0	35371	0	0	0	0	0	0	0	0	57885	0	6000	54843	0	18589
622	Vlaardingen	8	13651448	9152866	0	0	554691	0	0	0	42091	0	0	0	2287304	0	0	0	0	134741	0	23000	129656	3090347	38995
1992	Voorne aan Zee	8	0	216305	0	0	300665	0	0	61250	98540	0	43	119224	0	0	0	0	0	69559	0	8000	108491	0	40524
626	Voorschoten	8	0	81796	0	0	89573	0	0	0	33113	0	862	0	0	0	0	0	0	10215	0	3000	38643	0	13727
627	Waddinxveen	8	0	2220049	0	0	98105	0	0	0	34011	0	0	0	0	0	0	0	0	32591	0	4000	49619	0	17127
629	Wassenaar	8	0	1039094	0	0	104892	0	0	0	33355	0	1897	0	0	0	0	0	0	57885	0	6000	41746	0	14523
1783	Westland	8	0	7037991	0	0	362488	150000	0	0	49057	0	0	0	0	0	0	0	0	151279	0	17000	160163	0	50260
637	Zoetermeer	8	0	7836720	0	175958	791489	150000	0	0	51640	104477	9828	0	0	0	0	0	0	89503	398593	14000	205220	0	57799
638	Zoeterwoude	8	0	19995	0	0	23552	0	0	0	29988	0	0	0	0	0	0	0	0	52048	0	3000	15017	0	7801
1892	Zuidplas	8	0	1906468	0	0	141964	0	0	0	36724	0	0	0	0	0	0	0	0	138146	0	12000	79920	0	21062
642	Zwijndrecht	8	0	3438867	0	0	337110	0	0	0	36670	0	0	18531	0	0	0	0	0	197490	0	17000	74129	0	24111
654	Borsele	9	0	1654772	0	0	62695	0	0	0	32587	0	0	131025	0	0	0	0	0	331744	0	8000	47826	0	18103
664	Goes	9	0	5871968	0	175122	151123	0	0	0	35521	0	129	84102	0	0	0	0	0	186302	398593	9000	61321	0	21931
677	Hulst	9	0	3895154	0	0	85865	0	0	0	33471	0	0	179014	0	0	0	0	0	156630	0	5000	45726	0	18029
678	Kapelle	9	0	445693	0	0	43423	0	0	0	30739	0	0	33304	0	0	0	0	0	81720	0	4000	21668	0	9554
687	Middelburg	9	0	5599397	0	0	260459	150000	0	0	37449	0	28106	46475	0	210021	0	0	161700	176087	0	6000	83380	0	26114
1695	Noord-Beveland	9	0	542145	0	0	22489	0	0	0	29753	0	0	83886	0	0	0	0	0	59831	0	1000	18260	0	9358
703	Reimerswaal	9	0	1312211	0	0	88319	0	0	0	32601	0	0	96318	0	0	0	0	0	106528	0	11000	47677	0	13637
1676	Schouwen-Duiveland	9	0	4265755	0	0	119067	0	0	0	34678	0	0	240292	0	0	0	0	0	133281	0	6000	63384	0	23961
1714	Sluis	9	0	1955327	0	0	66566	0	0	0	32651	0	0	254175	0	0	0	0	0	76369	0	4000	46355	0	21570
715	Terneuzen	9	0	8764829	0	0	251381	0	0	0	38472	0	0	234605	0	0	0	0	0	423192	0	25000	96666	0	33386
716	Tholen	9	0	2114763	0	0	85457	0	0	0	33194	0	0	146835	0	0	0	0	0	35509	0	3000	49303	0	15708
717	Veere	9	0	1151517	0	0	43587	0	0	0	32426	0	0	137584	0	0	0	0	0	44751	0	2000	39108	0	16995
718	Vlissingen	9	38150782	7294098	0	0	280385	0	0	0	36593	0	0	34108	6570210	0	0	0	0	308395	0	12000	79047	4193467	28428
1723	Alphen-Chaam	10	0	474149	0	0	29440	0	0	0	30272	0	0	0	0	0	0	0	0	0	0	3000	21474	0	11181
1959	Altena	10	0	3414891	0	0	164426	0	0	0	38823	0	0	0	0	0	0	0	0	432434	0	9000	101428	0	25871
743	Asten	10	0	494789	0	0	43342	0	0	0	31471	0	0	0	0	0	0	0	0	32591	0	5000	23560	0	13912
744	Baarle-Nassau	10	0	18177	0	0	22788	0	0	0	29626	0	1983	0	0	0	0	0	0	29186	0	1000	12278	0	10304
1724	Bergeijk	10	0	2131170	0	0	44078	0	0	0	31831	0	0	0	0	0	0	0	0	16052	0	4000	30132	0	14202
748	Bergen op Zoom	10	9819571	10789307	0	0	398852	0	0	0	40899	0	216	0	2944320	0	0	0	0	130849	0	26000	113271	0	36399
1721	Bernheze	10	0	4502944	0	0	77197	0	0	0	34193	0	0	0	0	0	0	0	0	57398	0	8000	47992	0	20443
753	Best	10	0	3325888	0	0	88537	0	0	0	33962	0	0	0	0	0	0	0	0	27240	0	8000	43051	0	17469
1728	Bladel	10	0	5018367	0	0	43369	0	0	0	32161	0	0	0	0	0	0	0	0	81720	0	5000	32802	0	15866
755	Boekel	10	0	1263566	0	0	22897	0	0	0	30381	0	0	0	0	0	0	0	0	0	0	1000	19406	0	10710
757	Boxtel	10	0	8317001	0	0	122746	0	0	0	34475	0	0	0	0	0	0	0	0	41833	0	10456	48764	0	18320
758	Breda	10	34669720	22833084	0	235648	862334	150000	0	140000	62586	436799	11337	0	5914678	0	0	0	0	319097	398593	36000	289183	7973218	91152
1706	Cranendonck	10	0	2080290	0	0	65803	0	856322	0	32249	0	36942	0	0	0	0	0	0	100204	0	4000	33952	0	14078
762	Deurne	10	0	1314962	0	0	102929	0	0	0	34376	0	0	0	0	0	0	0	0	65668	0	11000	47680	0	23908
766	Dongen	10	0	1421622	0	0	83739	0	0	0	33247	0	0	0	0	0	0	0	0	40860	0	4000	36847	0	15559
1719	Drimmelen	10	0	1338230	0	0	55172	0	0	0	33425	0	0	0	0	0	0	0	0	76369	0	3000	36913	0	15609
770	Eersel	10	0	2666564	0	0	44486	0	0	0	31975	0	0	0	0	0	0	0	0	94853	0	4000	33582	0	14416
772	Eindhoven	10	49172296	34084251	0	211016	1280785	550226	0	0	72176	422920	11596	0	11224728	415042	0	0	319550	304017	398593	37000	359195	7325304	129130
777	Etten-Leur	10	0	5594864	0	0	178164	0	0	0	36502	0	0	0	0	0	0	0	0	98258	0	13000	68175	0	25264
779	Geertruidenberg	10	0	2000752	0	0	86138	0	0	0	32392	0	0	0	0	0	0	0	0	176573	0	7000	31316	0	13917
1771	Geldrop-Mierlo	10	0	645843	0	0	161182	0	0	0	35794	0	0	0	0	0	0	0	0	90962	0	7000	58090	0	20122
1652	Gemert-Bakel	10	0	1558316	0	0	107754	0	0	0	34064	0	0	0	0	0	0	0	0	110419	0	12000	52232	0	22018
784	Gilze en Rijen	10	0	1870097	0	0	114869	0	618491	0	33313	0	156607	0	0	0	0	0	0	0	0	6000	44498	0	16615
785	Goirle	10	0	2528249	0	0	62777	0	0	0	32798	0	0	0	0	0	0	0	0	58371	0	4000	36343	0	13759
1655	Halderberge	10	0	5067419	0	0	137494	0	0	0	34002	0	0	0	0	0	0	0	0	159548	0	7000	48377	0	19610
1658	Heeze-Leende	10	0	1042124	0	0	29767	0	0	0	31364	0	0	0	0	0	0	0	0	40860	0	3000	24830	0	12090
794	Helmond	10	19216913	27964219	0	156305	598605	0	0	0	45569	264084	15432	0	2971255	0	0	0	0	176573	398593	22000	152615	2270957	45260
797	Heusden	10	0	3429867	0	0	128962	0	0	0	36713	0	0	0	0	0	0	0	0	81720	0	9000	61894	0	22671
798	Hilvarenbeek	10	0	1257028	0	0	37399	0	0	0	31262	0	0	0	0	0	0	0	0	109933	0	4000	27234	0	13527
1659	Laarbeek	10	0	638785	0	0	64822	0	0	0	32584	0	0	0	0	0	0	0	0	79288	0	3000	35054	0	15188
1982	Land van Cuijk	10	0	15103263	0	0	291833	0	0	0	45117	0	156693	0	0	0	0	0	0	602198	0	24000	141185	0	54749
809	Loon op Zand	10	0	2863819	0	0	70982	0	0	0	32714	0	0	0	0	0	0	0	0	51561	0	5000	34775	0	13969
1991	Maashorst	10	0	9427662	0	0	211992	0	0	0	39150	0	0	0	0	0	0	0	0	325907	0	16000	90806	0	34608
1948	Meierijstad	10	0	15227096	0	0	246965	0	0	0	43527	0	0	0	0	0	0	0	0	267049	0	17000	122752	0	48587
1709	Moerdijk	10	0	2534736	0	0	134931	0	0	0	35259	0	0	0	0	0	0	0	0	719913	0	29000	66156	0	30234
820	Nuenen, Gerwen en Nederwetten	10	0	1439267	0	0	75016	0	0	0	32751	0	0	0	0	0	0	0	0	0	0	3000	34614	0	13720
823	Oirschot	10	0	2462328	0	0	43178	0	0	0	31847	0	20777	0	0	0	0	0	0	58371	0	4000	30041	0	14848
824	Oisterwijk	10	0	4083840	0	0	77611	0	0	0	34364	0	87895	0	0	0	0	0	0	0	0	7227	43888	0	19305
826	Oosterhout	10	0	6318896	0	0	278068	0	0	0	38796	0	11854	0	0	0	0	0	0	309855	0	13000	83821	0	32382
828	Oss	10	19113315	18155297	0	0	384623	0	0	0	45551	0	18751	0	3088492	0	0	0	0	334662	0	27000	150244	0	48642
1667	Reusel-De Mierden	10	0	2621811	0	0	36145	0	0	0	30784	0	0	0	0	0	0	0	0	0	0	1000	24383	0	12420
1674	Roosendaal	10	0	14513933	0	0	438323	0	0	0	42700	0	0	0	0	0	0	0	0	147388	0	24000	123217	0	41771
840	Rucphen	10	0	6103728	0	0	81559	0	0	0	32635	0	0	0	0	0	0	0	0	46697	0	5000	33419	0	14258
796	's-Hertogenbosch	10	32107092	22599413	0	208040	694665	150000	0	0	57260	340803	70479	0	5010703	326033	0	869439	251020	302558	988593	35000	237697	6654367	75672
845	Sint-Michielsgestel	10	0	4049147	0	0	72727	0	0	0	33829	0	0	0	0	0	0	0	0	15566	0	3000	45153	0	15607
847	Someren	10	0	349566	0	0	54681	0	0	0	31956	0	0	0	0	0	0	0	0	18971	0	6000	29667	0	16214
848	Son en Breugel	10	0	812796	0	0	51519	0	0	0	31607	0	0	0	0	0	0	0	0	38914	0	4000	26823	0	11597
851	Steenbergen	10	0	2648858	0	0	83957	0	0	0	32864	0	0	0	0	0	0	0	0	39887	0	5000	37873	0	15980
855	Tilburg	10	63658963	28265667	0	201187	1351090	150000	0	173750	69620	826949	24226	0	8605616	599060	0	523603	461230	368712	398593	48301	362108	6286245	124638
858	Valkenswaard	10	0	3571525	0	0	106310	0	0	0	34149	0	0	0	0	0	0	0	0	18971	0	4000	42280	0	18776
861	Veldhoven	10	0	4037952	0	0	133487	0	0	0	36805	0	9915	0	0	0	0	0	0	103609	0	7000	61142	0	23924
865	Vught	10	0	4486138	0	0	78660	0	0	0	34233	0	862	0	0	0	0	0	0	0	0	8016	47601	0	16842
866	Waalre	10	0	1165857	0	0	49611	0	0	0	31606	0	0	0	0	0	0	0	0	16052	0	2000	25662	0	10186
867	Waalwijk	10	0	5458710	0	0	189722	0	0	0	37421	0	0	0	0	0	0	0	0	395466	0	17000	68271	0	28299
873	Woensdrecht	10	0	2202554	0	0	67657	0	0	0	32440	0	0	0	0	0	0	0	0	62749	0	6000	32029	0	14535
879	Zundert	10	0	1876395	0	0	70437	0	0	0	32432	0	0	0	0	0	0	0	0	42319	0	3000	30476	0	16731
888	Beek	11	0	1100918	0	0	58934	0	0	0	31295	0	0	0	0	0	0	0	0	51561	0	3000	21452	0	10855
1954	Beekdaelen	11	0	4983524	0	0	115441	0	0	0	35050	0	76471	0	0	0	0	0	0	43292	0	8000	52698	0	17769
889	Beesel	11	0	1456086	0	0	58934	0	0	0	30844	0	0	0	0	0	0	0	0	20430	0	4000	19635	0	9413
893	Bergen (L.)	11	0	2370719	0	0	41215	0	0	0	30781	0	0	0	0	0	0	0	0	12161	0	4000	24931	0	10500
899	Brunssum	11	0	9424950	0	0	148833	0	0	0	33489	0	0	0	0	0	0	0	0	81233	0	3000	39733	0	17066
1711	Echt-Susteren	11	0	3348969	0	0	107618	0	0	0	34248	0	29528	0	0	0	0	0	0	161008	0	11000	46132	0	19278
1903	Eijsden-Margraten	11	0	1535420	0	0	50402	0	0	0	33160	0	23967	0	0	0	0	0	0	0	0	7000	49494	0	14358
907	Gennep	11	0	4833394	0	0	59697	0	0	0	31511	0	0	0	0	0	0	0	0	28213	0	3000	26370	0	13638
1729	Gulpen-Wittem	11	0	1850274	0	0	36254	0	0	0	30985	0	0	0	0	0	0	0	0	0	0	1000	32334	0	10039
917	Heerlen	11	32432218	27514291	0	234077	769354	150000	0	83750	44511	277192	43840	0	5802838	0	0	0	0	207705	398593	19000	157434	3114440	46726
1507	Horst aan de Maas	11	0	3941185	0	0	90772	0	0	0	36245	0	6983	0	0	0	0	0	0	162953	0	10000	66885	0	29932
928	Kerkrade	11	0	17920545	0	0	321137	0	0	0	36794	0	0	0	0	0	0	0	0	152252	0	6000	69729	0	26575
882	Landgraaf	11	0	9865133	0	0	220388	0	0	0	35273	0	0	0	0	0	0	0	0	75396	0	6000	55703	0	19623
1640	Leudal	11	0	3037310	0	0	90063	0	0	0	35047	0	45521	0	0	0	0	0	0	104582	0	8000	54139	0	24372
1641	Maasgouw	11	0	2421661	0	0	52828	0	0	0	32797	0	0	0	0	0	0	0	0	523396	0	5000	33902	0	14049
935	Maastricht	11	23504879	18307604	0	0	616868	324169	0	207500	50702	230543	87722	0	5973911	337034	0	0	259490	368226	0	32000	160060	4008386	69873
938	Meerssen	11	0	1795397	0	0	41706	0	0	0	31814	0	0	0	0	0	0	0	0	29672	0	5000	27701	0	10816
944	Mook en Middelaar	11	0	556107	0	0	19844	0	0	0	29814	0	0	0	0	0	0	0	0	41833	0	2000	12701	0	6678
946	Nederweert	11	0	2483534	0	0	42742	0	0	0	31536	0	0	0	0	0	0	0	0	86584	0	5000	27674	0	15754
1894	Peel en Maas	11	0	5908090	0	0	120621	0	0	0	36463	0	0	0	0	0	0	0	0	147874	0	9000	68856	0	28804
1669	Roerdalen	11	0	2770242	0	0	65067	0	0	0	32170	0	0	0	0	0	0	0	0	84638	0	4000	33171	0	12765
957	Roermond	11	0	10772992	0	152128	357963	0	0	0	39272	0	0	0	0	0	0	0	0	239323	398593	20000	99913	0	32915
965	Simpelveld	11	0	2118474	0	0	39689	0	0	0	30291	0	0	0	0	0	0	0	0	13620	0	2000	14556	0	7867
1883	Sittard-Geleen	11	0	13214860	0	0	478393	150000	0	0	45405	176185	0	0	0	0	0	0	0	213055	0	40000	135997	0	51804
971	Stein	11	0	2570063	0	0	60842	0	0	0	32969	0	0	0	0	0	0	0	0	149333	0	7000	29909	0	13212
981	Vaals	11	0	1501520	0	0	43778	0	0	0	30218	0	0	0	0	0	0	0	0	29186	0	1000	18407	0	8816
994	Valkenburg aan de Geul	11	0	1484505	0	0	47512	0	0	0	31387	0	0	0	0	0	0	0	0	31618	0	3000	24029	0	10991
983	Venlo	11	49566487	14023856	0	161203	587320	150000	0	0	47310	424462	0	0	7947634	278028	0	0	214060	347796	398593	40000	167585	5228208	61462
984	Venray	11	0	9828101	0	0	178409	0	0	0	36473	0	819	0	0	0	0	0	0	379900	0	11000	71792	0	33844
986	Voerendaal	11	0	1059731	0	0	43069	0	0	0	30661	0	0	0	0	0	0	0	0	16052	0	2000	19843	0	8498
988	Weert	11	0	7728827	0	0	201170	0	0	0	37644	0	0	0	0	0	0	0	0	229108	0	14000	72663	0	30235
34	Almere	12	47484240	9588415	0	200586	1355311	150000	0	83750	68275	457617	77721	0	8465146	267027	0	138766	205590	206245	398593	26000	391906	5996822	80167
303	Dronten	12	0	1731886	0	0	174430	0	0	0	36156	0	146261	0	0	0	0	0	0	124039	0	11000	72764	0	25404
995	Lelystad	12	0	6772408	0	0	569656	150000	0	0	43186	463015	0	0	0	0	0	0	0	322502	0	15000	145902	0	37874
171	Noordoostpolder	12	0	5472773	0	0	258578	0	0	0	37192	0	138976	0	0	0	0	0	0	385737	0	12000	92165	0	34112
184	Urk	12	0	1668612	0	0	51901	0	0	0	32291	0	0	0	0	0	0	0	0	46211	0	4000	44504	0	9682
50	Zeewolde	12	0	433261	0	0	94207	0	0	0	32598	0	0	0	0	0	0	0	0	93881	0	3000	40300	0	17155
