CBS	Naam	Prov	Beschermd wonen	Participatie	Voogdij/18+	aanpak laaggeletterdheid	armoedebestrijding kinderen	beeldende kunst en vormgeving	BRP: Centralisering Inschrijving Vergunninghouders	experiment gesloten coffeeshopketen	extra capaciteit BOA's	jeugd	jeugdhulp aan kinderen in een AZC	knelpunten verdeelproblematiek	maatschappelijke opvang	personen met verward gedrag	slavernijverleden	Uitstapprogramma prostituees	veiligheidshuizen	vergunningverlening, toezicht en handhaving	versterking arbeidsmarktregio's	versterking omgevingsveiligheidsdiensten	voorschoolse voorziening peuters	vrouwenopvang	Wet kwaliteitsborging bouw
214	Buren	5	0	1986790	0	0	88591	0	0	0	33366	0	0	0	0	0	0	0	0	158576	0	3000	52872	0	16999
216	Culemborg	5	0	3441463	0	0	105928	0	0	0	33759	0	0	0	0	0	0	0	0	68586	0	3000	45369	0	15848
221	Doesburg	5	0	1406798	0	0	55608	0	0	0	30401	0	0	0	0	0	0	0	0	20430	0	1000	16793	0	7938
222	Doetinchem	5	28619100	8185350	0	154573	277086	0	0	0	39180	0	11380	0	3745969	0	0	0	0	143983	398593	8000	92791	0	29616
225	Druten	5	0	2045150	0	0	56290	0	0	0	31875	0	0	0	0	0	0	0	0	152738	0	3000	29606	0	11922
226	Duiven	5	0	1862925	0	0	89027	0	0	0	33005	0	15562	0	0	0	0	0	0	63236	0	9000	39192	0	14866
228	Ede	5	24287795	8392901	0	155294	410709	150000	0	0	50387	58600	2931	0	3436877	0	0	0	0	314719	398593	19000	205077	2959074	61977
230	Elburg	5	0	3462694	0	0	86193	0	0	0	32700	0	0	0	0	0	0	0	0	27240	0	5000	40542	0	12895
232	Epe	5	0	3946016	0	0	110671	0	0	0	34517	0	0	0	0	0	0	0	0	72964	0	3000	54848	0	20088
233	Ermelo	5	0	3864292	0	0	73463	0	0	0	33367	0	0	0	0	0	0	0	0	53994	0	7000	45046	0	17102
243	Harderwijk	5	0	4614080	0	0	201716	0	0	0	37405	0	90826	0	0	0	0	0	0	175114	0	11000	78776	0	23582
244	Hattem	5	0	737318	0	0	31184	0	0	0	30617	0	0	0	0	0	0	0	0	43779	0	4000	19197	0	8367
246	Heerde	5	0	2234648	0	0	45795	0	0	0	31835	0	0	0	0	0	0	0	0	56912	0	3000	32012	0	11880
252	Heumen	5	0	1190898	0	0	45849	0	0	0	31424	0	0	0	0	0	0	0	0	90476	0	4000	27166	0	10705
1705	Lingewaard	5	0	3666723	0	0	131470	0	0	0	37051	0	0	0	0	0	0	0	0	160035	0	8000	68369	0	21867
262	Lochem	5	0	2646781	0	0	105928	0	0	0	34657	0	0	0	0	0	0	0	0	123066	0	10000	59971	0	24046
263	Maasdriel	5	0	1524054	0	0	71473	0	0	0	33076	0	0	0	0	0	0	0	0	62749	0	5000	44275	0	16198
1955	Montferland	5	0	4275035	0	0	128662	0	0	0	35044	0	0	0	0	0	0	0	0	22376	0	8000	51446	0	21447
1740	Neder-Betuwe	5	0	1191679	0	0	91672	0	0	0	32927	0	0	0	0	0	0	0	0	119661	0	5000	51085	0	14181
267	Nijkerk	5	0	1867366	0	0	128117	0	0	0	36452	0	0	0	0	0	0	0	0	142523	0	12000	74098	0	22012
268	Nijmegen	5	57962030	22559233	0	171086	1018746	150000	0	196250	61327	605273	76213	0	10151944	284028	0	178595	218680	410545	398593	34000	306752	5960918	87254
302	Nunspeet	5	0	3531039	0	0	88319	0	0	0	33554	0	10734	0	0	0	0	0	0	74423	0	6000	53759	0	15699
269	Oldebroek	5	0	2001306	0	0	69456	0	0	0	32762	0	0	0	0	0	0	0	0	32104	0	7000	44334	0	14027
1586	Oost Gelre	5	0	5883345	0	0	69347	0	0	0	33843	0	0	0	0	0	0	0	0	125985	0	7000	46365	0	20735
1509	Oude IJsselstreek	5	0	4927944	0	0	176801	0	0	0	35660	0	0	0	0	0	0	0	0	130363	0	5000	61101	0	24368
1734	Overbetuwe	5	0	3463353	0	0	152650	0	0	0	37310	0	0	0	0	0	0	0	0	121121	0	13000	80227	0	25063
273	Putten	5	0	1971803	0	0	66784	0	0	0	32874	0	2371	0	0	0	0	0	0	121121	0	8000	40046	0	16755
274	Renkum	5	0	2198641	0	0	121356	0	0	0	34186	0	8233	0	0	0	0	0	0	65668	0	4000	45515	0	16127
275	Rheden	5	0	6131278	0	0	220879	0	0	0	36438	0	28709	0	0	0	0	0	0	106041	0	11000	68029	0	22540
277	Rozendaal	5	0	65046	0	0	2835	0	0	0	28664	0	0	0	0	0	0	0	0	0	0	0	3432	0	4268
279	Scherpenzeel	5	0	193228	0	0	27586	0	0	0	30227	0	0	0	0	0	0	0	0	9242	0	1000	16746	0	8143
281	Tiel	5	0	8062237	0	150238	219652	0	0	0	36139	0	1035	0	0	0	0	0	0	286020	398593	13000	67984	0	22939
285	Voorst	5	0	2178479	0	0	48902	0	0	0	32953	0	0	0	0	0	0	0	0	67613	0	7000	48656	0	17351
289	Wageningen	5	0	3521668	0	0	150714	0	0	0	35714	0	22329	0	0	0	0	0	0	23835	0	3000	49056	0	22139
1960	West Betuwe	5	0	2994904	0	0	141583	0	0	0	37920	0	0	0	0	0	0	0	0	134741	0	15000	93632	0	28742
668	West Maas en Waal	5	0	1102223	0	0	62968	0	0	0	31985	0	0	0	0	0	0	0	0	140091	0	4000	34445	0	13623
293	Westervoort	5	0	2700123	0	0	77960	0	0	0	31135	0	0	0	0	0	0	0	0	44265	0	2000	23270	0	8938
296	Wijchen	5	0	4047340	0	0	153222	0	0	0	36017	0	0	0	0	0	0	0	0	145928	0	10000	65071	0	22499
294	Winterswijk	5	0	6057754	0	0	102221	0	0	0	33740	0	98370	0	0	0	0	0	0	230567	0	5000	51550	0	20910
