CBS	Naam	Prov	vest	bo31	bo31hk	bo3_nw	doelgroep	ephh	groei_jong	groei_llvo	kernen500	lidr_w_nw	inwo	inw75+dr	wad1	wad3	wad2	jong	kernen	LOdr	ll_so	ll_vo	loonksub	nwmigr	cf.landelijk	cf.lokaal	cf.regionaal	oeverdhbftot	oeverbftot	oadw	goab	opbebnk	opbebnkbfnk	opbebk	opbebkbfk	biwa	buiwamax	histk40	histk65	histk4164	landbftot	land	WOZnwe70	WOZnwg70	WOZwe80	vast nieuw	Amsterdam	Den Haag	Rotterdam	woonr	woonrbfk
1700	Twenterand	4	3567,843422	1038	0	440,680797	396,5609361	3625,918264	0	0	4	3109,149063	34223,76802	1101,196983	0	0	0	7207,58661	9	5246,712697	207,1420562	750,6772635	137,2841913	892,6690021	11156,29961	33438,58281	16320,13032	8631,966337	2756	8703,962792	1688,889464	87,31538845	87,31538845	228,3764111	228,3071946	208	0	0	0	0	10605	10605	455032868,2	395900229,2	3694260817	1	0	0	0	14362,97491	14362,97491
189	Wierden	4	3226,297292	0	0	200,7582421	124,7845079	2605,599412	0	265,3883698	2	1445,030587	25123,90588	1149,433866	0	0	0	5142,672389	9	2087,201384	0	520,3106959	43,04673794	761,985477	9832,499568	22656,18092	12379,04622	4201,881317	1612	7691,225078	74,14276704	94,34076453	94,34076453	150,5667489	150,5211151	79	0	0	0	0	9459	9459	347223971,5	314052003,3	3188682208	1	0	0	0	10802,28241	10802,28241
1896	Zwartewaterland	4	2748,13271	1380	1380	186,2773197	142,761937	2389,379499	0	0	3	1694,118063	23614,16751	405,1898149	0	0	0	5685,806183	4	3232,979047	0	351,1104238	60,49811819	741,8803193	5194,14674	21888,17478	9317,127031	7967,514555	2933,04	6860,578653	769,6089023	78,28276206	79,06558968	162,69293	165,8964934	563	0	23	0	0	8305,23	8223	568971367,6	525343018,2	2210398002	1	0	0	0	9321,438387	9507,867155
193	Zwolle	4	17229,68863	9313	9313	3594,888981	1099,795663	26174,56633	0	0	1	11238,73398	133805,8685	2097,564697	0	0	0	27192,89863	3	6598,04052	8045,07637	7626,722123	251,2998755	15285,9514	214233,2897	144678,2079	246732,0755	59699,75723	5382	130519,6884	3940,855101	121,4386437	121,4386437	587,1092692	586,9313278	879	0	0	0	41	11058	11058	2831876503	2776710077	17331567617	1	0	0	0	62360,09957	62360,09957
197	Aalten	5	3115,951619	996	0	274,1501896	213,6141576	3589,051274	0	0	3	2569,560541	27530,99879	1398,515376	0	0	0	5108,475076	11	3534,426033	145,3977895	1171,692025	62,82496888	1064,5681	13126,84166	27365,27115	19998,47548	2658,4305	947	9896,785686	570,9242365	112,4060173	112,4060173	168,7560206	168,7048739	52	0	5	0	0	9653	9653	395179099,5	359843742	3104627164	1	0	0	0	12688,18678	12688,18678
200	Apeldoorn	5	21422,8242	11306	0	3572,509373	1432,906849	28300,89488	0	0	5	13801,02189	168952,2544	7130,869834	0	0	0	31206,05389	25	16967,25859	5028,1843	8313,849989	254,7901516	17885,54829	248914,8298	173690,6501	256958,6835	11918,76043	2432	143346,8977	7483,902097	184,6670284	184,6670284	880,1586463	879,8918873	132	0	0	0	0	33983	33983	2942930483	2796901710	23599494029	1	0	0	0	80171,64303	80171,64303
202	Arnhem	5	24444,19382	18048	18048	7361,245247	1796,685414	40878,51682	0	0	1	17559,65695	167516,285	1397,931949	0	0	0	30196,22735	6	15045,43437	7036,86633	6707,638955	400,2183203	36960,31667	307839,0898	188171,6079	325836,7072	39243,44357	2379,56	190459,4868	12122,67648	49,17763258	49,17763258	643,6981144	649,9380523	389	0	18	0	0	9862,65	9765	2540540086	2518185064	21066191500	1	0	0	0	82988,88313	83818,77196
203	Barneveld	5	9715,673767	920	0	560,4775185	384,9284819	6592,216333	4,735808737	0	8	3391,06437	62304,49752	1382,200266	0	0	0	15864,53581	20	6274,662868	2464,519692	3771,656769	96,56430403	3380,682268	35530,38898	60076,2692	41128,74948	4306,706102	1234	24768,91638	3100,28454	255,9244144	255,9244144	391,0693411	390,9508156	80	0	0	0	0	17586	17586	1516896416	1449831349	8708435502	1	0	0	0	27705,72303	27705,72303
1945	Berg en Dal	5	4455,863361	1067	0	736,881482	251,6840074	5773,171317	0	0	5	3252,480421	35793,12792	2216,812939	0	0	0	5808,514189	12	4842,690001	1861,240584	675,2123534	52,35414074	1706,927889	7003,003289	29477,28802	9064,493435	7165,259434	1887	11166,33165	957,7530295	49,17763258	49,17763258	189,9768375	189,9192593	701	0	0	0	0	8627	8627	402750961,8	365252215,1	4603470086	1	0	0	0	16970,1089	16970,1089
1859	Berkelland	5	5517,283643	1204	524	524,9334363	351,0886154	5834,948435	0	477,0895465	5	3778,129741	44485,7447	2827,202244	0	0	0	7513,35082	23	5141,54518	2098,600916	1806,391637	150,0818701	1492,80796	13995,90123	43432,76788	22342,91526	5843,209131	3454	13543,75906	563,4551131	274,9932924	274,9932924	272,8390752	272,756383	219	0	5	0	0	25803	25803	774853909,4	652261853	5639594149	1	0	0	0	20804,54541	20804,54541
