;Gemeenten;Sociale basisvoorzieningen;Participatie;Individuele voorzieningen Wmo;Individuele voorzieningen Jeugd;Bestuur en ondersteuning;Orde en veiligheid;Onderwijs;Sport, cultuur en recreatie;Infrastructuur, ruimte en milieu;Overig;Overige eigen middelen;Onroerendezaakbelasting;Totaal
104;Scherpenzeel;2209264.8652709005;983399.6915804886;2081025.1658034334;3036194.4377765153;3564823.3065189477;1144957.7854689122;1149412.2905513842;2427002.6924714637;2491563.279218727;0.0;-1736075.7470852684;-2235910.028806584;15115665.65211439
105;Tiel;11880192.150590267;11204746.008679694;11798195.670734547;19735372.319302667;14752161.545251776;6325662.330547195;8352746.908329338;14114573.513496699;11552148.562330242;0.0;-7114090.7592137335;-9805135.222272452;92796629.7527671
106;Voorst;5435716.062547055;3108203.9778017486;6292715.080238263;8315584.812529203;8707910.38400078;2866432.563613965;3985949.6915647625;6023423.593345856;9131041.281585185;0.0;-4205823.129244336;-6567335.238202464;43093842.48727556
107;Wageningen;11372451.645020612;6564301.111236656;9811550.320855713;12922856.972311221;14363226.959455598;6123307.359496264;4960827.406610509;13021627.21658678;9441993.413890628;0.0;-6720667.758586791;-10021638.954777312;71839872.90567784
108;West Betuwe;11194805.722108481;5717784.484980675;10500916.724113587;16176939.165816868;17837669.49431869;6259237.590402351;6762995.027733346;12779382.991805723;18995369.03466168;0.0;-8745332.232928429;-12653554.986944916;84826255.93779463
109;West Maas en Waal;4113274.050143784;2553920.44016913;4493270.673839953;7116059.736219405;6808405.409465757;2543584.0549472254;2211472.897348854;4512037.4916224005;7796264.362918526;0.0;-3310777.3894676277;-4389647.752823605;34447885.62758534
110;Westervoort;3544706.010688546;3485169.6787097096;3160267.0261565447;6399635.082814168;5224552.389777377;1961822.4756042168;1721469.9481148229;3758976.0904905763;2800080.6352544483;0.0;-2514676.355755929;-2534299.5876267552;27007723.41572448
111;Wijchen;10217192.516369147;7287270.295825805;10792966.914381322;16478168.131154047;14422026.68289307;4966104.351308363;5553662.31784477;12538405.282906657;11598412.25163406;0.0;-6957091.7595376605;-9699862.050745336;77197300.77817507
112;Winterswijk;7616135.014385976;6381583.906391407;10005958.854234733;14015111.552097816;10310794.746255849;3797743.860979856;4742868.530118462;9236583.699480476;10252939.776882283;0.0;-4911056.574243161;-6574575.584601315;64874128.49428482
113;Zaltbommel;6575691.813773276;3948829.4139285265;5839845.560813145;10840037.842770046;10272595.977175063;3985121.439429653;5130648.114661072;7701630.992459083;10502308.238455892;0.0;-5040963.570891897;-7397669.552753551;52358106.976306155
114;Zevenaar;10617146.68614873;9039773.532983234;14113742.425187256;21084432.299260896;15668513.29076867;5868589.436235699;6078067.114230355;12453605.919329861;12666535.76346018;0.0;-7512561.9592136135;-9694648.56463782;90383260.93153948
115;Zutphen;13469805.122202827;14823356.567360016;15278386.550795015;23920883.49646148;17209192.749087684;6886806.770113816;8706604.153773056;17768336.07774423;12180663.547914961;0.0;-8132649.109218602;-10699622.04605284;111411832.92327544
116;Amersfoort;49086955.56652936;33262850.654970277;35733540.69882052;61748052.34834853;55817670.45713597;24708354.919184882;30390922.814538546;62002882.487992994;38164017.01620468;0.0;-26686464.3580824;-42400921.991436705;321828010.7803641
117;Baarn;6052978.665286389;3609154.8072945033;6773654.599327769;7795070.968271572;8899045.754497655;3532516.9672064693;3304198.7383663855;6348745.0765853;6287615.404542464;0.0;-4185966.8789256373;-6946255.86707479;41470781.19619795
118;Bunnik;3274133.6495943964;1353139.4629211228;2764115.5990947154;3209007.9129304234;5402808.329219135;1899241.6701926014;1665078.365218835;3392801.9147828748;3827645.2955921046;0.0;-2623380.9150383277;-4247776.289186307;19916822.281630237
119;Bunschoten;5078598.032280728;2150243.1155867553;3991544.2841214887;6713675.0601589605;7664514.6093120845;2491289.8927764427;2832956.665337851;5718191.17689543;5489869.591168703;0.0;-3756701.6619285555;-5765794.309463687;32608403.393285476
120;De Bilt;10325002.466598975;5732606.777373008;10915462.60831133;12824061.697335484;15308583.08341847;5914904.8358019795;6807497.2314051725;10929514.839482823;10664309.610413464;0.0;-7321235.203801566;-12493268.906477667;69607473.60861224
121;De Ronde Venen;10133982.9900024;4852095.377201452;9309119.461792024;12581520.06974351;15625887.03537435;5852180.107998067;5392493.5506599415;10419846.618157508;18458831.21424262;0.0;-7564726.685519113;-12838003.986591982;72223261.10666439
122;Eemnes;2059066.315096901;923480.9504499842;1562092.5397036653;2487356.7314034295;3280535.360028657;1189491.7608817853;1008365.9848511689;2127998.7091711843;2522840.035167626;0.0;-1590182.7866874838;-2667946.172506966;12903106.277056448
123;Houten;12770834.343045304;5300482.172429127;6517535.730838097;13831040.837756764;17454271.088887557;6217716.784677812;7284335.755944022;14761741.82892315;12997835.36684435;0.0;-8468017.817879047;-13090702.628553055;75577103.95240286
124;IJsselstein;8591720.307316437;4987986.010400629;6522074.784941167;11043631.396031978;11669158.060458362;4717097.971866315;4730917.44801159;9286022.692399353;8149282.0592636205;0.0;-5625208.504526746;-7218680.1496145995;56854033.63693125
125;Leusden;7173075.249693439;3312303.9346364783;6198093.0305853775;8073359.611604746;10713398.458417343;3688420.103990658;3081950.997314327;8083264.82692428;6763194.274024802;0.0;-5168178.193445357;-7973735.488104142;43945166.969454944
126;Lopik;3067921.106099254;1528701.0303961786;2598819.4879303123;3755644.008886144;4978129.3160236105;1631803.7993829912;1757729.4613606455;3157317.687191645;7037114.908219565;0.0;-2441982.2864301945;-3417261.3321206816;23653947.026485655
127;Montfoort;2914856.105927706;1345353.2615596217;2622576.1405120837;3735453.8294209186;4762262.343890811;1629778.5614575257;1523733.5000782113;3317179.62589179;4394189.016508138;0.0;-2325200.6081510955;-3297050.853650227;20623141.04198782
