;Gemeenten;Sociale basisvoorzieningen;Participatie;Individuele voorzieningen Wmo;Individuele voorzieningen Jeugd;Bestuur en ondersteuning;Orde en veiligheid;Onderwijs;Sport, cultuur en recreatie;Infrastructuur, ruimte en milieu;Overig;Overige eigen middelen;Onroerendezaakbelasting;Totaal
320;Maastricht;39503057.985700004;36821563.992763996;60193781.630459994;61448976.4769;46163561.09642;21892414.996708;17779281.785736;51027087.90639999;40127110.19098999;-11495864.0;-20973185.083;-43586854.233399995;298901122.35089403
321;Meerssen;4024827.9317000005;2703962.7109439992;6086505.984115999;7125026.74172;6578889.4481;2349621.5611739997;2225526.419048;4546811.6852;4860566.177082;-31757.0;-3109692.9888;-4715979.9772;32644330.572301984
322;Mook en Middelaar;1706540.8705;1001044.1613799998;2101861.0448479997;2122061.8785119997;2899846.6780040003;994859.0613699999;784571.720032;1832127.9915999998;2217066.948452;0.0;-1364843.1814;-2390790.8526;11904352.443880001
323;Nederweert;3868241.5924000004;2085058.6464839997;5369195.074072;6909254.244544;6287481.964848001;2118085.2797;1962067.3727199996;4421244.294399999;7946562.73786;-1224656.0;-2928227.2695999998;-5690390.7648;31123937.799832005
324;Peel en Maas;10086903.483099999;6080615.258599999;12734302.913544001;17733730.154892;15941038.260924;5406123.310384;5558052.569496;11639083.022799997;16020015.222034;-2227517.0;-7622564.629199999;-13756401.428799998;77593433.50311401
325;Roerdalen;4386080.6198;3458506.9155599996;6607631.342496;8570134.01164;7413736.03716;2948068.758492;2262011.642008;4968681.501599999;6885188.058244001;0.0;-3483003.4628;-5149568.016999999;38867494.64592399
326;Roermond;17901401.1459;18704343.172115996;21732635.874987997;34009979.38432399;21669907.067148004;9686912.924736;12082652.701216;22241135.104;19003110.936304;-3214202.0;-10168609.0234;-21704038.890599996;141945328.665488
327;Simpelveld;2154804.9573000004;1746613.9635239998;3669068.2197800004;4999852.308692;3713515.4855239997;1408395.063464;1016725.192696;2369178.2679999997;2552517.131098;-269971.0;-1716725.9689999998;-2275295.7915999996;19368694.493178003
328;Sittard-Geleen;26121174.9737;26299175.891684;37208315.9764;51686752.85922799;33310407.634595998;13347278.081988;14187947.531464;34088858.38999999;27758217.186006;-1331145.0;-15509962.069999998;-32493836.3002;214673338.70969
329;Stein;5777606.5138;3830711.5399999996;9355050.185904;12049171.62044;8775089.51188;3095091.24458;3076637.1260959995;6934828.212799999;5937466.660404001;-1103237.0;-4142239.6271999995;-6220539.5572;47365674.09700398
330;Vaals;2394389.6186;2878023.996744;4177017.671936;5334298.954348;3804842.3578160005;1642806.9970899997;1055229.5915919999;2540970.5212;3130602.2805760005;-1318959.0;-1694293.8598;-2462782.8362;21482164.529400002
331;Valkenburg aan de Geul;3569339.2561000003;3210832.5004399996;6259386.658796001;6862005.660692001;6028987.503444;2470881.034032;2193480.187752;4166628.7803999996;4752007.991106;-813651.0;-2750611.8378;-5015407.8654;30933901.427398
332;Venlo;30657898.058100004;30248906.586075995;54260533.422724;58579192.825716004;36974528.131652;16706156.547952;19416866.298955996;38138846.1268;35093822.56607799;-13266580.0;-17374672.9982;-37193711.077599995;252241958.46871403
333;Venray;11571996.0779;9523743.266724;14088826.194392001;20115028.959212;15983463.103964001;6049739.775044;6370022.796584;13852617.4764;17716512.504094;-1746214.0;-7476588.5156;-16244558.741999999;89804646.18519396
334;Voerendaal;2578948.8775;1629332.4814999998;3948839.0636;5030049.940368;4408400.650396;1661195.803946;1282636.8473760001;2781994.1359999995;3427879.4763860004;-391799.0;-2071622.025;-3021713.2393999994;21264158.940101996
335;Weert;13911339.942000002;10347282.248483999;18527699.102364;24272826.894288003;18197939.143216;7481653.840667999;8185761.794751999;17169337.1216;16817073.559728004;-3183087.0;-8550818.700199999;-17599811.328599997;105577266.650144
336;Almere;74610771.56570001;54315506.09125599;59800542.0941;90729595.48711999;78457403.75058;42395739.80024599;47592300.825696;79982511.328;51160728.823802;0.0;-37916960.699999996;-66706047.33139999;474422314.60566205
337;Dronten;11001160.867100002;7189940.096639999;10003459.415463999;17004363.206588;15733237.395756;5820593.670824;7728479.899192;12497586.054799998;15971409.14419;243979.0;-7425028.145199999;-15173781.116999999;80595444.23511
338;Lelystad;25216548.843700003;22151067.314856;21147864.137979995;40601144.599272;29421155.378724;13669765.776529996;18628127.291784003;28261501.439999998;23778636.322486;3988660.0;-14075311.503999999;-27242126.106999997;185547144.93039396
339;Noordoostpolder;12324605.0599;10133714.608544;11755680.11456;22503093.565288;17591550.383996;6505666.09639;10650853.128088001;14439921.069999998;20699073.51979;-21157.0;-8376049.132999999;-17307932.870399997;100899079.18269405
340;Urk;5305552.867800001;2160871.899016;3881886.1928199995;9469075.348956;7369128.612152001;2139308.20897;4800620.494240001;6685039.6196;5600111.7465119995;-3213901.0;-3675852.6404;-5920335.2414;34601526.25565199
341;Zeewolde;5620587.8167;3967552.6998759997;3637055.1308839996;8685177.792124;8553447.098828;3189088.520008;3683953.981408;6458623.686799999;9579356.749852;318720.0;-4000783.4162;-9554369.265199998;40138434.26058
