;Gemeenten;Sociale basisvoorzieningen;Participatie;Individuele voorzieningen Wmo;Individuele voorzieningen Jeugd;Bestuur en ondersteuning;Orde en veiligheid;Onderwijs;Sport, cultuur en recreatie;Infrastructuur, ruimte en milieu;Overig;Overige eigen middelen;Onroerendezaakbelasting;Totaal;index;0
121;De Ronde Venen;10667830.311118094;4972446.870280514;10142519.391714394;13016470.072952462;16525219.39295096;6321297.33311935;5681586.47943044;10982394.98312957;19603789.690664425;0.0;-7967829.92258537;-14030263.222425852;75915424.7890706;;
122;Eemnes;2177192.5640763924;939125.4447367825;1688000.074996078;2512128.9498368055;3494597.6683573257;1297305.7188378784;1081654.104732637;2249300.784859544;2706834.591862787;0.0;-1678118.836208321;-2889116.6953279097;13578897.504662003;;
123;Houten;13317890.040225925;5819878.91966484;7240608.891391212;14519782.757910224;18317416.153966177;6688178.254391832;7731980.240575279;15421749.832616108;13788709.95194908;0.0;-8843605.840053476;-14815297.940624483;79187258.19045426;;
124;IJsselstein;8901181.834151233;5346759.350649738;7044773.401330327;10584311.477813335;12202394.923922505;4972255.513516886;4776142.023093586;9624115.72181998;8597345.254076684;0.0;-5855757.038822832;-7802308.800267787;58391183.70547055;;
125;Leusden;7626165.436322641;3602815.8408899843;6938879.899500887;8791693.005944207;11423539.412713865;3991284.5278189704;3447844.296953471;8644620.61581289;7226145.554003731;0.0;-5501705.085884804;-8580895.729761258;47610365.367683694;;
126;Lopik;3204665.1407964937;1719059.289543789;2904065.1412437367;4264356.362024149;5259203.75925195;1757047.0934781192;1867323.1866998533;3325937.5320519237;7423334.6346629;0.0;-2570854.279034091;-3865477.978073799;25288648.21732961;;
127;Montfoort;3032403.2264758353;1366181.6409021234;2852463.9324835977;3865528.943175138;5006468.540770571;1733974.4882999389;1607222.088599346;3473997.0995368743;4655680.292283736;0.0;-2435352.9134175708;-3521272.9430400403;21637283.870696817;;
128;Nieuwegein;19463837.780500617;13379581.576578982;17431023.42126058;26969607.44728172;24177367.078183845;11139977.902703807;11039392.745025193;20948627.812600646;18244717.298576456;0.0;-11439112.625437746;-19439688.166549485;131915252.85373914;;
129;Oudewater;2230453.8731076787;1152707.1866540278;2579259.971329299;3248523.025617272;3705894.1096195607;1307570.6031089115;1162936.1655578846;2820004.266293402;4940191.263092583;0.0;-1788967.6944440696;-2547864.003985004;18810699.1939587;;
130;Renswoude;1202441.6974126939;472760.4552143132;724467.4661368409;1675843.023407843;2036885.0811722358;679350.5830142525;736734.8650886354;1324544.9465102628;1817085.84618082;0.0;-1004808.184104551;-1707636.3641703802;7957665.310012752;;
131;Rhenen;4745098.653767125;3099108.749913274;5562650.07744342;8191713.239075356;7330653.656211219;2651322.445226088;2732648.1602811744;5398773.82756341;5534153.921857502;0.0;-3554331.924557364;-4749248.510260061;36942518.25636416;;
132;Soest;12520264.371312778;6928930.460150405;13086279.224123795;15591179.541070798;17383578.453773905;7081319.841603667;6857908.598724651;13564684.690324595;11517650.572930984;0.0;-8294257.081733923;-13476671.865801336;82760823.89997832;;
133;Stichtse Vecht;16124846.502175864;7877012.632693939;14755176.733373804;21049542.565252785;23969059.150760617;9503535.620408827;9569659.934625454;16921531.834806185;21590858.529513255;0.0;-11499432.587930106;-17721209.949137434;112140521.54996943;;
134;Utrecht;138928268.95175323;91374947.87417445;99848013.94678822;145674051.1846548;137567347.7585299;75215619.8152931;70286616.97877097;177507211.8092802;116528284.04641913;0.0;-64332026.615582466;-127693222.60052848;860904759.5117186;;
135;Utrechtse Heuvelrug;12039588.493271211;6859203.822958527;14393341.620156758;14788475.65832926;18606972.00039533;7037229.941764523;7147893.07420738;13363670.988190169;13384073.704841651;0.0;-8817030.088283405;-14376721.139216192;84426659.62411603;;
136;Veenendaal;20654124.64616852;12838017.459136132;18974719.83999059;31235240.222763352;25033004.34313707;10563952.161065249;12868960.739301737;24752628.800332848;17984030.592257038;0.0;-11980943.242414288;-17607852.165519252;145315799.55020365;;
137;Vijfheerenlanden;14749565.264812464;8939467.377908172;14607946.108135778;22864879.012098692;21731307.886572365;8532679.377024027;9039266.639567183;16174196.20159543;20306274.508914217;0.0;-10499519.93531062;-15255223.78758005;111190772.67367952;;
