Gemeenten	Provincie	Grootteklasse	Stedelijkheid	Inwonertal
Hendrik-Ido-Ambacht	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	32852
Hengelo (O.)	Overijssel	50000tot100000inwoners	Sterkstedelijk	83644
's-Hertogenbosch	Noord-Brabant	150000tot250000inwoners	Sterkstedelijk	161557
Heumen	Gelderland	10000tot20000inwoners	Weinigstedelijk	16866
Heusden	Noord-Brabant	20000tot50000inwoners	Matigstedelijk	46345
Hillegom	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	22788
Hilvarenbeek	Noord-Brabant	10000tot20000inwoners	Weinigstedelijk	16147
Hilversum	Noord-Holland	50000tot100000inwoners	Zeersterkstedelijk	94351
Hoeksche Waard	Zuid-Holland	50000tot100000inwoners	Weinigstedelijk	90768
Hof van Twente	Overijssel	20000tot50000inwoners	Weinigstedelijk	35669
Het Hogeland	Groningen	20000tot50000inwoners	Nietstedelijk	48190
Hollands Kroon	Noord-Holland	20000tot50000inwoners	Nietstedelijk	49984
Hoogeveen	Drenthe	50000tot100000inwoners	Matigstedelijk	56917
Hoorn	Noord-Holland	50000tot100000inwoners	Sterkstedelijk	76050
Horst aan de Maas	Limburg	20000tot50000inwoners	Weinigstedelijk	44276
Houten	Utrecht	50000tot100000inwoners	Sterkstedelijk	50943
Huizen	Noord-Holland	20000tot50000inwoners	Sterkstedelijk	41197
Hulst	Zeeland	20000tot50000inwoners	Weinigstedelijk	27385
IJsselstein	Utrecht	20000tot50000inwoners	Sterkstedelijk	33349
Kaag en Braassem	Zuid-Holland	20000tot50000inwoners	Weinigstedelijk	29305
Kampen	Overijssel	50000tot100000inwoners	Matigstedelijk	56541
Kapelle	Zeeland	10000tot20000inwoners	Weinigstedelijk	13024
Katwijk	Zuid-Holland	50000tot100000inwoners	Sterkstedelijk	67085
Kerkrade	Limburg	20000tot50000inwoners	Sterkstedelijk	45485
Koggenland	Noord-Holland	20000tot50000inwoners	Nietstedelijk	23826
Krimpen aan den IJssel	Zuid-Holland	20000tot50000inwoners	Sterkstedelijk	29782
Krimpenerwaard	Zuid-Holland	50000tot100000inwoners	Weinigstedelijk	57800
Laarbeek	Noord-Brabant	20000tot50000inwoners	Weinigstedelijk	23324
Land van Cuijk	Noord-Brabant	50000tot100000inwoners	Weinigstedelijk	92774
Landgraaf	Limburg	20000tot50000inwoners	Matigstedelijk	36850
Landsmeer	Noord-Holland	10000tot20000inwoners	Matigstedelijk	11748
